pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
NA,NA,4.85,0.8,2018-05-31,2018-05-31T09:47:13Z,219,NA,981.4666666666667,27.542,91.6,7.23,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.244,0.244,0.020000000000000018,0.020000000000000018
NA,NA,4.93,0.8,2018-05-31,2018-05-31T09:47:14Z,219,NA,981.4666666666667,27.542,91.6,7.23,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.264,0.264,0.021999999999999964,0.021999999999999964
NA,NA,5,0.9,2018-05-31,2018-05-31T09:47:15Z,219,NA,981.4666666666667,27.543,91.6,7.22,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.286,0.286,0.028000000000000025,0.028000000000000025
NA,NA,4.85,0.9,2018-05-31,2018-05-31T09:47:16Z,219,NA,981.4666666666667,27.544,91.5,7.22,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.314,0.314,0.025000000000000022,0.025000000000000022
NA,NA,4.82,1,2018-05-31,2018-05-31T09:47:17Z,219,NA,981.3333333333334,27.544,91.5,7.22,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.339,0.339,0.025999999999999968,0.025999999999999968
NA,NA,4.98,1,2018-05-31,2018-05-31T09:47:18Z,219,NA,981.4666666666667,27.544,91.4,7.21,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.365,0.365,0.02400000000000002,0.02400000000000002
NA,NA,4.84,1,2018-05-31,2018-05-31T09:47:19Z,219,NA,981.4666666666667,27.544,91.4,7.21,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.389,0.389,0.02999999999999997,0.02999999999999997
NA,NA,5.12,1.1,2018-05-31,2018-05-31T09:47:20Z,219,NA,981.4666666666667,27.545,91.4,7.21,137.8,NA,NA,NA,NA,NA,NA,NA,NA,0.419,0.419,0.728,0.728
NA,NA,4.84,1.1,2018-05-31,2018-05-31T09:47:21Z,219,NA,981.3333333333334,27.546,91.3,7.2,137.8,NA,NA,NA,NA,NA,NA,NA,NA,1.147,1.147,0.07499999999999996,0.07499999999999996
NA,NA,4.91,1.2,2018-05-31,2018-05-31T09:47:22Z,219,NA,981.4666666666667,27.546,91.3,7.2,137.8,NA,NA,NA,NA,NA,NA,NA,NA,1.222,1.222,0.04200000000000004,0.04200000000000004
NA,NA,0.9,2.3,2018-05-31,2018-05-31T09:48:01Z,219,NA,981.3333333333334,25.52,25.6,2.1,145.6,NA,NA,NA,NA,NA,NA,NA,NA,1.706,1.706,0.02300000000000013,0.02300000000000013
NA,NA,0.92,2.2,2018-05-31,2018-05-31T09:48:02Z,219,NA,981.3333333333334,25.483,24.1,1.97,146,NA,NA,NA,NA,NA,NA,NA,NA,1.729,1.729,0.02499999999999991,0.02499999999999991
NA,NA,0.77,2.2,2018-05-31,2018-05-31T09:48:03Z,219,NA,981.4666666666667,25.471,23.2,1.9,146.2,NA,NA,NA,NA,NA,NA,NA,NA,1.754,1.754,0.02200000000000002,0.02200000000000002
