pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.19,115.9,0.137,2018-07-25,2018-07-25T14:22:32Z,240,NA,989.7333333333332,30.58,102.9,7.7,90.4,1.44,0.451,NA,NA,NA,NA,NA,0.055,0.055
6.85,124.2,0.295,2018-07-25,2018-07-25T14:27:27Z,240,NA,989.7333333333332,8.526,2.3,0.27,56.1,9.45,0.51,NA,NA,NA,NA,NA,5.838,5.838
6.84,124.2,0.318,2018-07-25,2018-07-25T14:27:31Z,240,NA,989.7333333333332,8.391,2.2,0.26,56.1,9.88,0.497,NA,NA,NA,NA,NA,5.96,5.96
6.83,124.2,0.318,2018-07-25,2018-07-25T14:27:33Z,240,NA,989.8666666666667,8.314,2.2,0.26,56.2,10.2,0.482,NA,NA,NA,NA,NA,6.021,6.021
6.83,124,0.312,2018-07-25,2018-07-25T14:27:35Z,240,NA,989.7333333333332,8.255,2.2,0.26,56.2,10.5,0.474,NA,NA,NA,NA,NA,6.089,6.089
6.82,123.3,0.318,2018-07-25,2018-07-25T14:27:39Z,240,NA,989.6,8.167,2.1,0.25,56.5,11.15,0.455,NA,NA,NA,NA,NA,6.217,6.217
6.81,115.4,0.312,2018-07-25,2018-07-25T14:27:41Z,240,NA,989.6,8.127,2.1,0.25,56.6,11.46,0.431,NA,NA,NA,NA,NA,6.28,6.28
6.8,112.7,0.317,2018-07-25,2018-07-25T14:27:43Z,240,NA,989.7333333333332,8.089,2.1,0.25,56.8,11.83,0.429,NA,NA,NA,NA,NA,6.35,6.35
6.8,110.5,0.32,2018-07-25,2018-07-25T14:27:45Z,240,NA,989.8666666666667,8.054,2.1,0.24,57,12.37,0.418,NA,NA,NA,NA,NA,6.415,6.415
6.79,108.5,0.32,2018-07-25,2018-07-25T14:27:47Z,240,NA,989.7333333333332,8.02,2,0.24,57.2,13.17,0.406,NA,NA,NA,NA,NA,6.487,6.487
6.79,106.9,0.309,2018-07-25,2018-07-25T14:27:49Z,240,NA,989.7333333333332,7.993,2,0.24,57.4,13.65,0.397,NA,NA,NA,NA,NA,6.553,6.553
6.78,99.4,0.305,2018-07-25,2018-07-25T14:27:51Z,240,NA,989.7333333333332,7.959,2,0.24,57.6,14.08,0.391,NA,NA,NA,NA,NA,6.627,6.627
6.77,95.7,0.305,2018-07-25,2018-07-25T14:27:53Z,240,NA,989.6,7.92,2,0.24,57.8,14.25,0.396,NA,NA,NA,NA,NA,6.693,6.693
6.77,93.7,0.307,2018-07-25,2018-07-25T14:27:55Z,240,NA,989.6,7.894,2,0.23,57.9,14.27,0.376,NA,NA,NA,NA,NA,6.763,6.763
6.76,91,0.306,2018-07-25,2018-07-25T14:27:57Z,240,NA,989.6,7.866,2,0.23,58.1,14.19,0.376,NA,NA,NA,NA,NA,6.828,6.828
6.76,78,0.316,2018-07-25,2018-07-25T14:27:59Z,240,NA,989.6,7.838,1.9,0.23,58.4,13.76,0.378,NA,NA,NA,NA,NA,6.894,6.894
6.75,71.8,0.32,2018-07-25,2018-07-25T14:28:01Z,240,NA,989.7333333333332,7.817,1.9,0.23,58.8,12.86,0.37,NA,NA,NA,NA,NA,6.968,6.968
6.74,57.7,0.324,2018-07-25,2018-07-25T14:28:03Z,240,NA,989.6,7.798,1.9,0.23,59.2,12.03,0.372,NA,NA,NA,NA,NA,7.033,7.033
6.74,47.5,0.324,2018-07-25,2018-07-25T14:28:05Z,240,NA,989.6,7.774,1.9,0.23,59.7,11.4,0.378,NA,NA,NA,NA,NA,7.106,7.106
6.73,37,0.333,2018-07-25,2018-07-25T14:28:07Z,240,NA,989.7333333333332,7.753,1.9,0.23,60.2,10.85,0.386,NA,NA,NA,NA,NA,7.173,7.173
6.72,29.5,0.332,2018-07-25,2018-07-25T14:28:09Z,240,NA,989.8666666666667,7.731,1.9,0.22,60.7,10.47,0.385,NA,NA,NA,NA,NA,7.247,7.247
6.71,25.6,0.34,2018-07-25,2018-07-25T14:28:11Z,240,NA,989.7333333333332,7.707,1.9,0.22,61.2,10.21,0.392,NA,NA,NA,NA,NA,7.314,7.314
6.7,22.1,0.343,2018-07-25,2018-07-25T14:28:13Z,240,NA,989.7333333333332,7.692,1.9,0.22,61.6,9.87,0.401,NA,NA,NA,NA,NA,7.386,7.386
6.7,14.3,0.341,2018-07-25,2018-07-25T14:28:15Z,240,NA,989.6,7.675,1.8,0.22,62,9.78,0.399,NA,NA,NA,NA,NA,7.452,7.452
6.69,11.1,0.334,2018-07-25,2018-07-25T14:28:17Z,240,NA,989.6,7.66,1.8,0.22,62.4,9.86,0.397,NA,NA,NA,NA,NA,7.524,7.524
6.68,8.7,0.33,2018-07-25,2018-07-25T14:28:19Z,240,NA,989.6,7.652,1.8,0.22,62.8,9.82,0.387,NA,NA,NA,NA,NA,7.589,7.589
6.67,6.2,0.321,2018-07-25,2018-07-25T14:28:21Z,240,NA,989.6,7.639,1.8,0.22,63.2,9.84,0.388,NA,NA,NA,NA,NA,7.66,7.66
6.67,-1.3,0.323,2018-07-25,2018-07-25T14:28:23Z,240,NA,989.6,7.632,1.8,0.21,63.6,9.79,0.39,NA,NA,NA,NA,NA,7.724,7.724
6.66,-5.2,0.325,2018-07-25,2018-07-25T14:28:25Z,240,NA,989.7333333333332,7.621,1.8,0.21,64,9.85,0.398,NA,NA,NA,NA,NA,7.791,7.791
6.66,-7.4,0.326,2018-07-25,2018-07-25T14:28:27Z,240,NA,989.6,7.608,1.8,0.21,64.4,9.97,0.395,NA,NA,NA,NA,NA,7.863,7.863
6.65,-9.7,0.327,2018-07-25,2018-07-25T14:28:29Z,240,NA,989.7333333333332,7.589,1.8,0.21,64.9,10.08,0.39,NA,NA,NA,NA,NA,7.93,7.93
6.65,-11.5,0.324,2018-07-25,2018-07-25T14:28:31Z,240,NA,989.6,7.566,1.8,0.21,65.5,10.09,0.395,NA,NA,NA,NA,NA,8.005,8.005
6.65,-19.3,0.326,2018-07-25,2018-07-25T14:28:33Z,240,NA,989.6,7.544,1.7,0.21,66.2,10.13,0.392,NA,NA,NA,NA,NA,8.784,8.784
6.64,-22.5,0.329,2018-07-25,2018-07-25T14:28:35Z,240,NA,989.6,7.524,1.7,0.21,67,10.19,0.383,NA,NA,NA,NA,NA,8.874,8.874
6.61,-56.7,0.392,2018-07-25,2018-07-25T14:29:07Z,240,NA,989.7333333333332,7.337,1.5,0.19,85.8,12.6,0.492,NA,NA,NA,NA,NA,10.283,10.283
6.61,-63,0.391,2018-07-25,2018-07-25T14:29:09Z,240,NA,989.7333333333332,7.335,1.5,0.19,86.8,12.71,0.496,NA,NA,NA,NA,NA,10.377,10.377
