pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
7.99,110.4,1.007,2018-07-24,2018-07-24T07:16:20Z,269,NA,982.2666666666668,27.571,89.1,7.02,171.5,3.5,3.862,NA,NA,NA,NA,NA,0.053,0.053,0.020999999999999998,0.020999999999999998
7.99,110.4,1.008,2018-07-24,2018-07-24T07:16:22Z,269,NA,982.2666666666668,27.574,89,7.02,171.6,3.47,3.856,NA,NA,NA,NA,NA,0.074,0.074,0.024000000000000007,0.024000000000000007
7.99,110.4,1.007,2018-07-24,2018-07-24T07:16:24Z,269,NA,982.2666666666668,27.575,89,7.02,171.6,3.47,3.804,NA,NA,NA,NA,NA,0.098,0.098,0.026999999999999996,0.026999999999999996
8,110.4,1.007,2018-07-24,2018-07-24T07:16:26Z,269,NA,982.2666666666668,27.579,89,7.02,171.6,3.46,3.805,NA,NA,NA,NA,NA,0.125,0.125,0.03900000000000001,0.03900000000000001
8,110.5,1.004,2018-07-24,2018-07-24T07:16:28Z,269,NA,982.2666666666668,27.586,89,7.02,171.7,3.46,3.822,NA,NA,NA,NA,NA,0.164,0.164,0.033,0.033
8,110.5,1.004,2018-07-24,2018-07-24T07:16:30Z,269,NA,982.2666666666668,27.59,89,7.02,171.7,3.44,3.846,NA,NA,NA,NA,NA,0.197,0.197,0.03899999999999998,0.03899999999999998
8,110.6,1.006,2018-07-24,2018-07-24T07:16:32Z,269,NA,982.2666666666668,27.589,89,7.02,171.8,3.49,3.871,NA,NA,NA,NA,NA,0.236,0.236,0.03700000000000003,0.03700000000000003
8,110.6,1.008,2018-07-24,2018-07-24T07:16:34Z,269,NA,982.1333333333333,27.589,89,7.02,171.8,3.43,3.889,NA,NA,NA,NA,NA,0.273,0.273,0.043999999999999984,0.043999999999999984
8,110.7,0.996,2018-07-24,2018-07-24T07:16:36Z,269,NA,982.2666666666668,27.59,89.1,7.02,171.8,3.43,3.876,NA,NA,NA,NA,NA,0.317,0.317,0.04999999999999999,0.04999999999999999
8.01,110.7,0.998,2018-07-24,2018-07-24T07:16:38Z,269,NA,982.2666666666668,27.589,89.1,7.02,171.8,3.43,3.871,NA,NA,NA,NA,NA,0.367,0.367,0.039000000000000035,0.039000000000000035
8.01,110.8,0.991,2018-07-24,2018-07-24T07:16:40Z,269,NA,982.2666666666668,27.588,89,7.02,171.8,3.38,3.87,NA,NA,NA,NA,NA,0.406,0.406,0.043999999999999984,0.043999999999999984
8.01,110.9,0.987,2018-07-24,2018-07-24T07:16:42Z,269,NA,982.2666666666668,27.587,89,7.02,171.7,3.39,3.848,NA,NA,NA,NA,NA,0.45,0.45,0.04899999999999999,0.04899999999999999
8.01,111,0.993,2018-07-24,2018-07-24T07:16:44Z,269,NA,982.2666666666668,27.588,89,7.01,171.7,3.47,3.862,NA,NA,NA,NA,NA,0.499,0.499,0.04500000000000004,0.04500000000000004
8.01,111,0.987,2018-07-24,2018-07-24T07:16:46Z,269,NA,982.1333333333333,27.591,89,7.01,171.7,3.39,3.864,NA,NA,NA,NA,NA,0.544,0.544,0.05899999999999994,0.05899999999999994
8.01,111.1,0.989,2018-07-24,2018-07-24T07:16:48Z,269,NA,982.2666666666668,27.592,89,7.01,171.8,3.36,3.889,NA,NA,NA,NA,NA,0.603,0.603,0.04500000000000004,0.04500000000000004
8.01,111.2,0.994,2018-07-24,2018-07-24T07:16:50Z,269,NA,982.1333333333333,27.594,89,7.01,171.8,3.44,3.906,NA,NA,NA,NA,NA,0.648,0.648,0.04999999999999993,0.04999999999999993
8.01,111.2,0.991,2018-07-24,2018-07-24T07:16:52Z,269,NA,982.2666666666668,27.595,89,7.01,171.8,3.39,3.925,NA,NA,NA,NA,NA,0.698,0.698,0.05700000000000005,0.05700000000000005
8.01,111.3,0.999,2018-07-24,2018-07-24T07:16:54Z,269,NA,982.1333333333333,27.597,89,7.01,171.8,3.45,3.963,NA,NA,NA,NA,NA,0.755,0.755,0.051000000000000045,0.051000000000000045
8.01,111.3,0.998,2018-07-24,2018-07-24T07:16:56Z,269,NA,982.2666666666668,27.599,89,7.01,171.8,3.42,3.969,NA,NA,NA,NA,NA,0.806,0.806,0.05599999999999994,0.05599999999999994
8.01,111.4,1.007,2018-07-24,2018-07-24T07:16:58Z,269,NA,982.1333333333333,27.6,89,7.01,171.8,3.38,4.005,NA,NA,NA,NA,NA,0.862,0.862,0.03400000000000003,0.03400000000000003
