chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,TSS.mg.L,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
0.86,-0.062,79.7,79.7,6.1,108.1,0.12,247.2,0.34,161,0.61,0,8.17,29.258,-0.056,37.89885,-93.31596,254.9,2019-07-19,2019-07-19T12:38:06Z,092,NA,986,0.04,0.05
0.83,-0.022,79.7,79.7,6.1,108.2,0.12,247.4,0.32,161,0.61,0,8.17,29.26,-0.006,37.89885,-93.31596,255.2,2019-07-19,2019-07-19T12:38:07Z,092,NA,986.1333333333333,0.053,0.079
0.83,0.103,79.4,79.4,6.08,108.2,0.12,247.4,0.24,161,0.5,0,8.16,29.268,0.113,37.89886,-93.31596,255.8,2019-07-19,2019-07-19T12:38:10Z,092,0.009934676102340773,985.8666666666667,0.05,0.052000000000000005
0.85,0.153,79.4,79.4,6.07,108.3,0.12,247.5,0.25,161,0.48,0,8.16,29.268,0.165,37.89886,-93.31596,255.8,2019-07-19,2019-07-19T12:38:11Z,092,0.014765922700054437,986.1333333333333,0.048000000000000015,0.037000000000000005
0.83,0.215,79.2,79.2,6.06,108.3,0.12,247.4,0.31,161,0.62,0,8.16,29.275,0.215,37.89887,-93.31594,256.4,2019-07-19,2019-07-19T12:38:15Z,092,0.020753946652150246,986.1333333333333,0.05200000000000002,0.06999999999999998
0.87,0.281,79.2,79.2,6.06,108.4,0.12,247.3,0.33,161,0.63,0,8.16,29.277,0.273,37.89887,-93.31594,256.9,2019-07-19,2019-07-19T12:38:17Z,092,0.027082199237887863,986.1333333333333,0.023999999999999966,0.04799999999999999
0.9,0.305,79.2,79.2,6.06,108.4,0.12,247.5,0.35,161,0.62,0,8.17,29.272,0.321,37.89888,-93.31594,257,2019-07-19,2019-07-19T12:38:18Z,092,0.02939575394665215,985.8666666666667,0.05099999999999999,0.043999999999999984
0.85,0.356,79.1,79.1,6.06,108.4,0.12,247.5,0.29,161,0.51,0,8.17,29.264,0.365,37.89888,-93.31593,257.3,2019-07-19,2019-07-19T12:38:19Z,092,0.03429504627109418,985.8666666666667,0.04500000000000004,0.046999999999999986
0.9,0.401,79.1,79.1,6.05,108.4,0.12,247.5,0.21,161,0.48,0,8.17,29.254,0.412,37.89888,-93.31593,257.5,2019-07-19,2019-07-19T12:38:20Z,092,0.038581927054980945,986.1333333333333,0.05099999999999999,0.067
0.97,0.538,78.9,78.9,6.04,108.3,0.12,247.5,0.31,161,0.48,0,8.17,29.248,0.547,37.89889,-93.31593,257.3,2019-07-19,2019-07-19T12:38:24Z,092,0.051918889493739795,986,0.03399999999999992,0.05699999999999994
0.89,0.594,78.9,78.9,6.04,108.2,0.12,247.6,0.31,161,0.51,0,8.17,29.246,0.577,37.89889,-93.31593,257.3,2019-07-19,2019-07-19T12:38:26Z,092,0.05722645617855199,986.1333333333333,0.03700000000000003,0.08900000000000008
0.93,0.588,78.8,78.8,6.03,108.3,0.12,247.5,0.39,161,0.6,0,8.17,29.246,0.512,37.8989,-93.31592,257.3,2019-07-19,2019-07-19T12:38:28Z,092,0.056682090364725095,986.1333333333333,-0.03199999999999992,0.07799999999999996
0.94,0.556,78.8,78.8,6.03,108.4,0.12,247.5,0.4,161,0.64,0,8.17,29.253,0.59,37.8989,-93.31592,257.8,2019-07-19,2019-07-19T12:38:29Z,092,0.053620032661948834,986,0.10999999999999999,0.127
