MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094-NA-05-00,2019-10-16,2019-10-16T15:19:33Z,0,0,17.412,9.01,94,2.024,1.162,6.8,12.93,359.6,151.9,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:35Z,0.058,0.058,17.431,8.97,93.6,2.062,1.175,7.17,12.93,359.4,153.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:36Z,0.101,0.101,17.429,8.95,93.5,2.119,1.19,7.13,12.93,359.3,153.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:37Z,0.132,0.132,17.411,8.92,93.2,2.161,1.161,7.18,12.93,359,153.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:38Z,0.159,0.159,17.368,8.92,93.1,2.271,1.264,6.9,12.93,358.8,153.7,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:39Z,0.21,0.21,17.3,8.91,92.9,2.349,1.384,6.82,12.94,358.6,153.5,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:19:40Z,0.242,0.242,17.239,8.89,92.5,2.361,1.422,6.99,12.94,358.3,153.3,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:19:41Z,0.263,0.263,17.23,8.89,92.4,2.367,1.409,6.96,12.95,358,153.4,NA,NA,NA,NA,NA,NA,990.9333333333334
094-NA-05-00,2019-10-16,2019-10-16T15:19:47Z,0.348,0.348,17.24,8.85,92,2.436,1.381,7.04,12.95,355.7,153.1,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:19:51Z,0.426,0.426,17.213,8.83,91.8,2.499,1.464,6.97,12.96,354.2,153,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:54Z,0.48,0.48,17.199,8.82,91.7,2.492,1.382,7.49,12.96,352.9,153,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:19:56Z,0.521,0.521,17.155,8.81,91.5,2.477,1.454,6.95,12.97,352.1,152.9,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:20:00Z,0.599,0.599,17.066,8.8,91.2,2.594,1.388,7.12,12.98,350.2,152.9,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:06Z,0.705,0.705,16.958,8.77,90.7,2.967,1.571,7.24,12.99,348.4,152.3,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:07Z,0.734,0.734,16.927,8.76,90.6,2.972,1.657,6.96,13,348.1,152.1,NA,NA,NA,NA,NA,NA,990.9333333333334
094-NA-05-00,2019-10-16,2019-10-16T15:20:09Z,0.789,0.789,16.869,8.76,90.5,2.835,1.66,6.98,13,347.6,151.5,NA,NA,NA,NA,NA,NA,990.6666666666666
094-NA-05-00,2019-10-16,2019-10-16T15:20:10Z,0.812,0.812,16.713,8.77,90.4,2.687,1.712,7.09,13,347.4,150.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:11Z,0.841,0.841,16.606,8.78,90.2,2.614,1.698,7.31,13,347.2,150.1,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:12Z,0.883,0.883,16.586,8.77,90,2.586,1.585,7.19,13.01,347,149.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:13Z,0.907,0.907,16.572,8.77,90,2.508,1.601,7.17,13.01,346.7,149.6,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:14Z,0.967,0.967,16.527,8.75,89.7,2.486,1.634,7.1,13.01,346.5,149.3,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:15Z,1.025,1.025,16.487,8.73,89.4,2.476,1.667,7.22,13.01,346.3,149.3,NA,NA,NA,NA,NA,NA,990.8000000000001
094-NA-05-00,2019-10-16,2019-10-16T15:20:17Z,1.076,1.076,16.463,8.67,88.7,2.633,1.645,7.85,13.01,346.1,149.3,NA,NA,NA,NA,NA,NA,990.8000000000001
