MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094-SA-03-00,2019-10-16,2019-10-16T15:49:55Z,0,0,17.614,9.22,96.6,2.219,1.204,6.65,NA,187.1,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:49:56Z,0.023,0.023,17.614,9.23,96.7,2.176,1.262,6.44,NA,187.6,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:49:57Z,0.073,0.073,17.611,9.24,96.8,2.265,1.221,6.56,NA,188.6,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:49:58Z,0.14,0.14,17.61,9.24,96.9,2.466,1.187,6.6,NA,189.7,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:49:59Z,0.183,0.183,17.611,9.25,97,2.512,1.28,6.26,NA,190.9,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:00Z,0.233,0.233,17.609,9.26,97,2.681,1.4,6.14,NA,191.9,151.7,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:01Z,0.274,0.274,17.609,9.27,97.1,2.896,1.354,6.17,NA,192.9,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:02Z,0.321,0.321,17.611,9.27,97.2,2.927,1.295,6.22,NA,193.9,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:03Z,0.342,0.342,17.612,9.28,97.2,2.921,1.326,6.28,NA,194.9,151.7,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:06Z,0.395,0.395,17.616,9.28,97.3,2.973,1.4,6.25,NA,197.8,151.7,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:07Z,0.463,0.463,17.613,9.28,97.3,2.994,1.419,6.28,NA,198.6,151.7,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:08Z,0.492,0.492,17.612,9.28,97.3,3.003,1.396,6.33,NA,199.5,151.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:09Z,0.513,0.513,17.609,9.28,97.3,3.07,1.424,6.21,NA,200.6,151.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:10Z,0.547,0.547,17.606,9.29,97.4,3.088,1.479,6.34,NA,201.4,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:11Z,0.585,0.585,17.604,9.29,97.4,3.084,1.496,6.23,NA,202.2,151.8,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:12Z,0.627,0.627,17.603,9.29,97.4,3.135,1.529,6.34,NA,202.9,151.7,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:13Z,0.67,0.67,17.604,9.3,97.4,3.226,1.531,6.3,NA,203.7,151.7,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:14Z,0.697,0.697,17.605,9.3,97.5,3.257,1.518,6.32,NA,204.4,151.8,NA,NA,NA,NA,NA,NA,990.6666666666666
094-SA-03-00,2019-10-16,2019-10-16T15:50:15Z,0.728,0.728,17.604,9.3,97.5,3.302,1.555,6.66,NA,205.2,151.7,NA,NA,NA,NA,NA,NA,990.8000000000001
094-SA-03-00,2019-10-16,2019-10-16T15:50:16Z,0.759,0.759,17.6,9.3,97.5,3.445,1.593,6.66,NA,205.8,151.7,NA,NA,NA,NA,NA,NA,990.8000000000001
