chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,TSS.mg.L,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
0.65,-0.003,63.4,63.4,5.02,102.7,0.03,69.5,0.08,45,0.37,0,6.94,27.327,0.003,NA,NA,NA,2019-07-16,2019-07-16T10:31:48Z,107,NA,972.9333333333334,0.044000000000000004,0.072
0.72,0.041,63.4,63.4,5.02,103,0.03,69.5,0.09,45,0.38,0,6.93,27.327,0.075,NA,NA,NA,2019-07-16,2019-07-16T10:31:49Z,107,0.004014697876973326,972.9333333333334,0.07400000000000001,0.05500000000000001
0.78,0.149,63.3,63.3,5.01,102.9,0.03,69.5,0.1,45,0.42,0,6.93,27.316,0.157,NA,NA,NA,2019-07-16,2019-07-16T10:31:54Z,107,0.014357648339684267,972.9333333333334,0.04000000000000001,0.05299999999999999
0.81,0.189,63.2,63.2,5.01,103.3,0.03,69.5,0.11,45,0.46,0,6.92,27.307,0.21,NA,NA,NA,2019-07-16,2019-07-16T10:31:55Z,107,0.01816820903647251,972.8000000000001,0.08800000000000002,0.10600000000000001
0.86,0.277,63.1,63.1,5,103.5,0.03,69.4,0.07,45,0.5,0,6.92,27.289,0.316,NA,NA,NA,2019-07-16,2019-07-16T10:31:56Z,107,0.026673924877517692,972.9333333333334,0.07399999999999995,0.05399999999999999
0.9,0.351,63,63,5,103.6,0.03,69.5,0.1,45,0.42,0,6.92,27.274,0.37,NA,NA,NA,2019-07-16,2019-07-16T10:31:57Z,107,0.033886771910724006,972.9333333333334,0.08500000000000002,0.14300000000000002
0.89,0.436,62.9,62.9,4.99,103.7,0.03,69.4,0.11,45,0.47,0,6.92,27.231,0.513,NA,NA,NA,2019-07-16,2019-07-16T10:31:58Z,107,0.042052259118127384,972.8000000000001,0.16099999999999998,0.10999999999999999
0.81,0.597,62.6,62.6,4.97,103.6,0.03,69.5,0.05,45,0.5,0,6.92,27.157,0.623,NA,NA,NA,2019-07-16,2019-07-16T10:31:59Z,107,0.05763473053892215,972.8000000000001,0.08300000000000007,0.061000000000000054
0.89,0.698,62,62,4.92,103.4,0.03,69.5,0.05,45,0.32,0,6.92,27.16,0.702,NA,NA,NA,2019-07-16,2019-07-16T10:32:01Z,107,0.06729722373434949,972.8000000000001,0.02200000000000002,0.03400000000000003
0.86,0.8,61,61,4.85,103.1,0.03,69.5,0.03,45,0.39,0,6.92,27.144,0.807,NA,NA,NA,2019-07-16,2019-07-16T10:32:05Z,107,0.07716385410996189,972.8000000000001,0.041999999999999926,0.06999999999999995
