MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
149-04-50,2019-08-28,2019-08-28T12:20:48Z,0.133,0.133,28.314,6.56,84.3,1.167,0.333,0.07,7.67,198.7,269.6,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:20:53Z,0.167,0.167,28.293,6.48,83.3,1.221,0.353,0.11,7.66,198.5,269.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:20:57Z,0.25,0.25,28.25,6.43,82.6,1.143,0.277,0.21,7.65,198.3,269,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:20:58Z,0.285,0.285,28.235,6.41,82.4,1.207,0.289,0.27,7.64,198.2,268.7,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:20:59Z,0.338,0.338,28.202,6.4,82.1,1.247,0.261,0.2,7.64,198.2,268.4,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:00Z,0.386,0.386,28.188,6.39,82,1.184,0.316,0.15,7.64,198.2,268.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:01Z,0.416,0.416,28.188,6.39,81.9,1.226,0.407,0.17,7.64,198.2,268.3,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:03Z,0.458,0.458,28.185,6.36,81.6,1.323,0.332,0.18,7.64,197.9,268.4,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:04Z,0.483,0.483,28.179,6.35,81.5,1.28,0.417,0.4,7.64,197.8,268.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:06Z,0.532,0.532,28.177,6.35,81.4,1.285,0.417,0.21,7.64,197.6,268.2,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:08Z,0.574,0.574,28.179,6.34,81.3,1.25,0.355,0.26,7.64,197.4,268.2,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:10Z,0.65,0.65,28.162,6.33,81.1,1.331,0.318,0.25,7.64,197.2,268.1,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:11Z,0.68,0.68,28.142,6.33,81.1,1.358,0.372,0.17,7.64,197.1,268.2,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:12Z,0.732,0.732,28.106,6.32,80.9,1.395,0.402,0.22,7.63,197,268.1,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:13Z,0.775,0.775,28.07,6.32,80.9,1.399,0.454,0.35,7.63,197,268,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:14Z,0.808,0.808,28.041,6.32,80.8,1.413,0.497,0.4,7.63,197,267.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:15Z,0.859,0.859,28.032,6.32,80.8,1.476,0.498,0.58,7.63,196.9,267.8,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:16Z,0.895,0.895,28.02,6.31,80.7,1.469,0.477,0.43,7.63,196.9,267.5,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:17Z,0.924,0.924,27.998,6.3,80.6,1.578,0.446,0.31,7.63,196.9,267.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:18Z,0.966,0.966,27.964,6.3,80.5,1.584,0.539,0.37,7.63,196.8,267.1,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:19Z,1.029,1.029,27.87,6.29,80.3,1.489,0.522,0.47,7.63,196.8,266.6,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:20Z,1.069,1.069,27.824,6.28,80.1,1.451,0.438,0.52,7.63,196.8,266.4,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:21Z,1.089,1.089,27.802,6.27,79.9,1.458,0.358,0.39,7.62,196.8,266.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:23Z,1.134,1.134,27.748,6.22,79.2,1.43,0.483,0.48,7.61,197.1,266.1,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:24Z,1.166,1.166,27.735,6.19,78.8,1.415,0.491,0.6,7.6,197.1,266,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:25Z,1.216,1.216,27.688,6.17,78.5,1.383,0.496,0.67,7.6,197.1,265.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:26Z,1.245,1.245,27.65,6.13,77.9,1.393,0.434,0.8,7.59,197.1,265.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:27Z,1.274,1.274,27.612,6.1,77.5,1.417,0.38,0.75,7.59,197.1,265.5,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:28Z,1.312,1.312,27.585,6.06,76.9,1.384,0.391,0.59,7.58,197,265.1,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:29Z,1.353,1.353,27.557,6.01,76.3,1.342,0.463,0.6,7.57,197.1,265,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:30Z,1.38,1.38,27.529,5.96,75.6,1.401,0.421,0.73,7.56,197,264.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:31Z,1.411,1.411,27.508,5.92,75,1.433,0.415,0.84,7.55,197,264.7,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:32Z,1.447,1.447,27.5,5.87,74.3,1.439,0.499,0.78,7.55,197,264.7,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:33Z,1.473,1.473,27.478,5.82,73.7,1.494,0.481,0.74,7.54,196.9,264.6,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:34Z,1.508,1.508,27.435,5.78,73.1,1.508,0.421,0.68,7.54,196.8,264.6,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:36Z,1.578,1.578,27.392,5.7,72.1,1.411,0.475,0.65,7.53,196.7,264.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:37Z,1.607,1.607,27.384,5.66,71.5,1.371,0.458,1,7.53,196.7,264.3,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:38Z,1.637,1.637,27.367,5.61,71,1.346,0.42,1.07,7.52,196.6,264.2,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:39Z,1.658,1.658,27.359,5.55,70.1,1.298,0.395,1.44,7.51,196.6,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:40Z,1.708,1.708,27.343,5.47,69.1,1.166,0.361,2.25,7.5,196.7,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:41Z,1.73,1.73,27.333,5.38,67.9,1.121,0.326,2.13,7.48,196.8,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:43Z,1.779,1.779,27.328,5.2,65.7,1.078,0.308,2.36,7.47,196.8,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:44Z,1.828,1.828,27.322,5.12,64.7,1.014,0.279,2.33,7.46,196.7,263.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:45Z,1.879,1.879,27.317,5.04,63.6,0.968,0.287,2.69,7.45,196.7,263.9,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:46Z,1.916,1.916,27.311,4.96,62.6,0.964,0.304,3.17,7.44,196.7,263.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:47Z,1.955,1.955,27.306,4.88,61.6,0.958,0.297,3.59,7.44,196.7,263.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:48Z,2.004,2.004,27.306,4.81,60.8,0.925,0.291,3.67,7.43,196.7,263.9,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:49Z,2.044,2.044,27.306,4.75,59.9,0.963,0.29,2.79,7.42,196.6,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:50Z,2.07,2.07,27.306,4.69,59.3,1.015,0.288,2.79,7.42,196.5,263.9,NA,NA,NA,NA,NA,NA,1000.2666666666668
149-04-50,2019-08-28,2019-08-28T12:21:51Z,2.107,2.107,27.309,4.64,58.6,1.046,0.254,4.61,7.42,196.4,263.9,NA,NA,NA,NA,NA,NA,1000.4
149-04-50,2019-08-28,2019-08-28T12:21:52Z,2.128,2.128,27.31,4.6,58,1.064,0.289,5.55,7.41,196.4,264,NA,NA,NA,NA,NA,NA,1000.2666666666668
