MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
149-GG-03-20,2019-05-29,2019-05-29T11:14:34Z,0,0,24.811,10.3,124.3,3.424,0.606,7.18,8.67,225.1,213.7,NA,NA,NA,NA,NA,NA,987.0666666666666
149-GG-03-20,2019-05-29,2019-05-29T11:14:44Z,0.882,0.882,24.936,11.51,139.2,5,0.835,7.08,8.69,222.9,229.8,NA,NA,NA,NA,NA,NA,987.1999999999999
149-GG-03-20,2019-05-29,2019-05-29T11:14:47Z,0.858,0.858,24.853,11.55,139.5,4.913,0.885,7.09,8.69,222.3,229.6,NA,NA,NA,NA,NA,NA,987.4666666666667
149-GG-03-20,2019-05-29,2019-05-29T11:14:51Z,0.897,0.897,24.679,11.55,139.1,4.758,0.939,7.29,8.68,221.7,229.3,NA,NA,NA,NA,NA,NA,987.4666666666667
149-GG-03-20,2019-05-29,2019-05-29T11:14:52Z,0.961,0.961,24.611,11.54,138.9,4.713,0.942,7.34,8.67,221.6,229.2,NA,NA,NA,NA,NA,NA,987.3333333333334
149-GG-03-20,2019-05-29,2019-05-29T11:14:53Z,1.015,1.015,24.546,11.53,138.5,4.644,0.95,7.37,8.54,221.3,229,NA,NA,NA,NA,NA,NA,987.4666666666667
149-GG-03-20,2019-05-29,2019-05-29T11:14:54Z,1.056,1.056,24.467,11.52,138.2,4.624,0.96,7.41,8.52,221,228.9,NA,NA,NA,NA,NA,NA,987.4666666666667
149-GG-03-20,2019-05-29,2019-05-29T11:14:55Z,1.089,1.089,24.402,11.01,131.9,4.577,0.958,7.47,8.49,220.8,228.8,NA,NA,NA,NA,NA,NA,987.3333333333334
149-GG-03-20,2019-05-29,2019-05-29T11:14:56Z,1.129,1.129,24.329,10.84,129.7,4.539,0.957,7.49,8.48,220.6,228.8,NA,NA,NA,NA,NA,NA,987.1999999999999
149-GG-03-20,2019-05-29,2019-05-29T11:14:57Z,1.162,1.162,24.259,10.69,127.8,3.528,0.949,7.56,8.47,220.5,228.8,NA,NA,NA,NA,NA,NA,987.3333333333334
149-GG-03-20,2019-05-29,2019-05-29T11:14:58Z,1.195,1.195,24.171,10.64,127,3.237,0.93,7.62,8.45,220.3,228.8,NA,NA,NA,NA,NA,NA,987.1999999999999
149-GG-03-20,2019-05-29,2019-05-29T11:14:59Z,1.227,1.227,24.087,10.56,125.8,3.664,0.91,7.67,8.43,220.2,228.8,NA,NA,NA,NA,NA,NA,987.1999999999999
