chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,turbidity_FNU
1.72,0.029,98.8,7.46,71,0.07,158.1,2.11,103,6.97,30.005,0.045,38.99397,-92.48883,233.8,2019-07-12,2019-07-12T11:57:49Z,210,0.00278987479586282,991.7333333333332,NA
1.81,0.067,96.9,7.32,70.3,0.07,158.2,2.09,103,7.04,30.008,0.077,38.99397,-92.48883,233.8,2019-07-12,2019-07-12T11:57:50Z,210,0.006464344039194339,991.7333333333332,NA
1.86,0.092,95.1,7.19,70.3,0.07,158.2,2.05,103,7.11,29.985,0.099,38.99397,-92.48883,233.8,2019-07-12,2019-07-12T11:57:51Z,210,0.008913990201415352,991.6,NA
1.88,0.151,92.2,6.97,69.7,0.07,158.1,2.39,103,7.23,29.956,0.169,38.99397,-92.48883,234.1,2019-07-12,2019-07-12T11:57:54Z,210,0.014561785519869351,991.8666666666667,NA
1.98,0.194,91.5,6.92,69.1,0.07,158.4,2.38,103,7.29,30.005,0.206,38.99397,-92.48883,234.1,2019-07-12,2019-07-12T11:57:55Z,210,0.018644529123571042,991.6,NA
2.04,0.221,90.7,6.85,69.2,0.07,158.5,2.4,103,7.34,30.011,0.23,38.99397,-92.48883,234,2019-07-12,2019-07-12T11:57:56Z,210,0.02129831246597714,991.7333333333332,NA
2.1,0.252,89.7,6.78,68.9,0.07,158.8,2.5,103,7.37,29.93,0.275,38.99397,-92.48883,234,2019-07-12,2019-07-12T11:57:57Z,210,0.02429232444202504,991.7333333333332,NA
2.16,0.303,88.2,6.68,68.8,0.07,159.2,2.8,103,7.42,29.722,0.307,38.99397,-92.48883,234.1,2019-07-12,2019-07-12T11:57:58Z,210,0.029191616766467067,991.7333333333332,NA
2.2,0.324,87.7,6.67,69,0.07,159.7,2.93,104,7.46,29.479,0.342,38.99397,-92.48883,234,2019-07-12,2019-07-12T11:57:59Z,210,0.03123298856831791,991.7333333333332,NA
2.25,0.37,87.6,6.69,69,0.07,159.4,2.93,104,7.49,29.221,0.39,38.99397,-92.48882,233.9,2019-07-12,2019-07-12T11:58:00Z,210,0.035655960805661406,991.7333333333332,NA
2.32,0.412,87.3,6.7,69.4,0.07,159.3,3.03,104,7.53,29.055,0.411,38.99397,-92.48882,233.8,2019-07-12,2019-07-12T11:58:01Z,210,0.03973870440936309,991.7333333333332,NA
2.69,0.445,84.2,6.49,70.3,0.07,159.4,3.44,104,7.66,28.902,0.451,38.99397,-92.48882,234.2,2019-07-12,2019-07-12T11:58:06Z,210,0.04286880783886772,991.7333333333332,NA
2.75,0.476,83.2,6.41,70.6,0.07,159.5,3.54,104,7.67,28.768,0.515,38.99397,-92.48882,234.2,2019-07-12,2019-07-12T11:58:07Z,210,0.04593086554164399,991.8666666666667,NA
2.67,0.561,82.3,6.37,71,0.07,159.7,3.64,104,7.68,28.527,0.575,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:08Z,210,0.054028307022319005,991.8666666666667,NA
2.68,0.605,81.2,6.3,71.4,0.07,159.7,3.46,104,7.68,28.426,0.629,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:09Z,210,0.058383233532934134,991.8666666666667,NA
2.67,0.672,80,6.21,71.7,0.07,159.7,3.08,104,7.68,28.414,0.692,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:10Z,210,0.06477953184540011,991.7333333333332,NA
2.41,0.725,78.4,6.09,71.9,0.07,159.8,3.09,104,7.67,28.383,0.742,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:11Z,210,0.06988296135002721,991.7333333333332,NA
2.22,0.774,76.9,5.98,72,0.07,159.9,3.12,104,7.67,28.34,0.796,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:12Z,210,0.07457811649428417,991.7333333333332,NA
2.34,0.83,75.3,5.86,72,0.07,160,3.12,104,7.67,28.274,0.843,38.99397,-92.48882,234.1,2019-07-12,2019-07-12T11:58:13Z,210,0.08002177463255307,991.7333333333332,NA
2.46,0.836,67.2,5.23,72.7,0.07,160,2.71,104,7.65,28.264,0.855,38.99397,-92.48882,233.8,2019-07-12,2019-07-12T11:58:18Z,210,0.08056614044637997,991.7333333333332,NA
2.17,0.893,66.1,5.15,73,0.07,160,2.44,104,7.64,28.223,0.912,38.99397,-92.48882,233.8,2019-07-12,2019-07-12T11:58:19Z,210,0.08607784431137724,991.6,NA
1.92,0.928,65,5.07,73.7,0.07,160.3,1.9,104,7.62,28.128,0.948,38.99397,-92.48882,233.7,2019-07-12,2019-07-12T11:58:20Z,210,0.08941208492106696,991.8666666666667,NA
1.75,0.98,62.8,4.9,74.2,0.07,160.5,1.62,104,7.6,28.079,1.001,38.99397,-92.48882,233.7,2019-07-12,2019-07-12T11:58:21Z,210,0.09451551442569407,991.7333333333332,NA
1.66,1.034,60.2,4.71,74.6,0.07,160.6,1.53,104,7.57,28.005,1.043,38.99397,-92.48882,233.6,2019-07-12,2019-07-12T11:58:22Z,210,0.09968698965704954,991.8666666666667,NA
1.7,1.06,57.6,4.51,74.8,0.07,160.9,1.43,105,7.56,27.963,1.063,38.99397,-92.48882,233.6,2019-07-12,2019-07-12T11:58:23Z,210,0.10220468154599892,991.7333333333332,NA
1.77,1.076,55.1,4.32,75,0.07,160.8,1.47,105,7.54,27.967,1.084,38.99397,-92.48882,233.7,2019-07-12,2019-07-12T11:58:24Z,210,0.10376973326075122,991.7333333333332,NA
