chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
3.09,0.357,147.3,11.32,230.1,0.06,138.6,1.99,90,9.76,8.91,29.007,0.412,NA,NA,NA,2019-08-06,2019-08-06T09:31:41Z,236,0.03436309199782254,983.7333333333332
3.56,0.47,146.1,11.24,229.9,0.06,138.5,2.15,90,9.75,8.9,28.938,0.48,NA,NA,NA,2019-08-06,2019-08-06T09:31:42Z,236,0.045318454001088734,983.7333333333332
3.79,0.52,144.4,11.12,229,0.06,138.4,2.16,90,9.72,8.89,28.896,0.557,NA,NA,NA,2019-08-06,2019-08-06T09:31:43Z,236,0.050081654872074034,983.7333333333332
3.96,0.643,141.5,10.9,229.8,0.06,138.2,2.02,90,10.17,8.87,28.849,0.77,NA,NA,NA,2019-08-06,2019-08-06T09:31:44Z,236,0.061989657049537294,983.7333333333332
3.93,0.849,134,10.34,230.8,0.06,138,1.96,90,10.31,8.81,28.738,0.842,NA,NA,NA,2019-08-06,2019-08-06T09:31:45Z,236,0.08179096352749048,983.6
3.24,0.895,128.1,9.9,230.5,0.06,137.8,2.05,90,10.31,8.77,28.657,0.938,NA,NA,NA,2019-08-06,2019-08-06T09:31:47Z,236,0.08628198149156233,983.6
3.35,1.02,126.7,9.81,229.7,0.06,137.8,2,90,10.85,8.77,28.603,1.057,NA,NA,NA,2019-08-06,2019-08-06T09:31:49Z,236,0.09832607512248231,983.6
3.33,1.111,124.7,9.67,229.6,0.06,137.7,2.22,90,11.68,8.75,28.469,1.151,NA,NA,NA,2019-08-06,2019-08-06T09:31:50Z,236,0.10710397387044095,983.7333333333332
3.32,1.248,121.6,9.46,229.4,0.06,137.6,2.27,89,12.11,8.72,28.244,1.289,NA,NA,NA,2019-08-06,2019-08-06T09:31:51Z,236,0.12030484485574307,983.7333333333332
3.27,1.347,119,9.28,229,0.06,137.6,2.19,89,11.86,8.68,28.123,1.363,NA,NA,NA,2019-08-06,2019-08-06T09:31:52Z,236,0.12983124659771367,983.6
3.16,1.443,108,8.47,229.2,0.06,138,2.09,90,11.93,8.6,27.765,1.479,NA,NA,NA,2019-08-06,2019-08-06T09:31:54Z,236,0.13908546543277084,983.7333333333332
3.22,1.528,101.3,7.97,229.5,0.06,138.4,2.01,90,11.88,8.57,27.593,1.55,NA,NA,NA,2019-08-06,2019-08-06T09:31:55Z,236,0.14731899836690257,983.6
3.24,1.649,85.5,6.78,229.8,0.06,140.1,1.92,91,11.45,8.48,27.16,1.688,NA,NA,NA,2019-08-06,2019-08-06T09:31:57Z,236,0.1590909090909091,983.6
2.93,1.751,77,6.13,230.7,0.07,142.6,1.65,93,12.14,8.41,26.834,1.79,NA,NA,NA,2019-08-06,2019-08-06T09:31:58Z,236,0.16888949373979315,983.6
2.7,1.917,54.2,4.38,230.9,0.07,150.4,1.31,98,20.97,8.21,26.168,1.958,NA,NA,NA,2019-08-06,2019-08-06T09:32:01Z,236,0.18488023952095808,983.6
2.27,2.005,47.8,3.88,231,0.08,161.9,1,105,25.8,8.15,25.405,2.034,NA,NA,NA,2019-08-06,2019-08-06T09:32:02Z,236,0.19345400108873162,983.6
2.2,2.087,42.8,3.54,230.7,0.08,176.5,0.93,115,24.24,8.07,24.783,2.116,NA,NA,NA,2019-08-06,2019-08-06T09:32:03Z,236,0.2014153511159499,983.6
2.37,2.165,40.6,3.37,229.1,0.09,184.2,0.96,120,26.64,8,24.559,2.181,NA,NA,NA,2019-08-06,2019-08-06T09:32:04Z,236,0.20896842678279806,983.6
1.76,2.328,27.9,2.35,195.7,0.1,209.3,0.71,136,25.23,7.71,23.54,2.351,NA,NA,NA,2019-08-06,2019-08-06T09:32:07Z,236,0.2247550353837779,983.7333333333332
1.78,2.398,26.3,2.25,157.7,0.11,223.3,0.64,145,25.64,7.62,22.815,2.423,NA,NA,NA,2019-08-06,2019-08-06T09:32:08Z,236,0.23155960805661405,983.7333333333332
1.69,2.46,25.5,2.21,120.1,0.11,237.9,0.72,155,25.05,7.49,21.093,2.486,NA,NA,NA,2019-08-06,2019-08-06T09:32:09Z,236,0.23754763200870987,983.6
1.6,2.533,24,2.14,95.5,0.13,272.7,0.77,177,25.67,7.42,20.868,2.574,NA,NA,NA,2019-08-06,2019-08-06T09:32:10Z,236,0.2446924333151878,983.6
1.63,2.633,21.9,1.95,58.1,0.14,294.5,0.77,191,25.13,7.27,20.843,2.661,NA,NA,NA,2019-08-06,2019-08-06T09:32:11Z,236,0.25435492651061514,983.6
1.65,2.733,20.2,1.81,22.1,0.15,308.7,0.83,201,25.75,7.2,20.527,2.765,NA,NA,NA,2019-08-06,2019-08-06T09:32:12Z,236,0.2640174197060425,983.6
1.64,2.813,18.5,1.66,-4.7,0.15,315.9,0.92,205,26.38,7.12,20.498,2.837,NA,NA,NA,2019-08-06,2019-08-06T09:32:13Z,236,0.2717065868263473,983.7333333333332
