chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
0.43,-0.002,116.9,8.82,87.4,0.05,117.1,0.14,76,1.32,8.2,30.113,-0.002,NA,NA,NA,2019-07-25,2019-07-25T14:46:52Z,248,NA,992.5333333333333,0.001,0.027999999999999997
0.49,-0.001,116.9,8.82,87.6,0.05,117.1,0.08,76,1.45,8.2,30.118,0.026,NA,NA,NA,2019-07-25,2019-07-25T14:46:53Z,248,NA,992.5333333333333,0.084,0.122
0.47,0.083,116.9,8.81,87.7,0.05,117.1,0.14,76,1.48,8.2,30.119,0.148,NA,NA,NA,2019-07-25,2019-07-25T14:46:54Z,248,0.00796135002721829,992.5333333333333,0.12499999999999999,0.088
0.45,0.208,116.9,8.82,87.7,0.05,117.1,0.14,76,1.42,8.2,30.11,0.236,NA,NA,NA,2019-07-25,2019-07-25T14:46:55Z,248,0.020005443658138267,992.5333333333333,0.1,0.125
0.52,0.308,116.9,8.82,87.9,0.05,117.1,0.07,76,1.5,8.2,30.095,0.361,NA,NA,NA,2019-07-25,2019-07-25T14:46:56Z,248,0.029667936853565596,992.5333333333333,0.15900000000000003,0.20399999999999996
0.55,0.467,116.2,8.77,87.8,0.05,116.9,0.05,76,1.48,8.21,29.984,0.565,NA,NA,NA,2019-07-25,2019-07-25T14:46:57Z,248,0.04504627109417529,992.5333333333333,0.191,0.10200000000000009
0.52,0.658,116.8,8.86,87.6,0.05,117.2,0.07,76,1.45,8.25,29.634,0.667,NA,NA,NA,2019-07-25,2019-07-25T14:46:58Z,248,0.06335057158410452,992.5333333333333,0.050999999999999934,0.06899999999999995
0.57,0.709,118.8,9.05,87.5,0.05,117,0.08,76,1.56,8.27,29.504,0.736,NA,NA,NA,2019-07-25,2019-07-25T14:46:59Z,248,0.06831790963527491,992.5333333333333,0.08700000000000008,0.08499999999999996
0.62,0.796,119.1,9.08,87.5,0.05,116.7,0.08,76,1.58,8.28,29.458,0.821,NA,NA,NA,2019-07-25,2019-07-25T14:47:00Z,248,0.07668753402286337,992.4,0.06399999999999995,0.05900000000000005
0.58,0.86,118.5,9.07,87.4,0.05,116.9,0.12,76,1.65,8.29,29.068,0.88,NA,NA,NA,2019-07-25,2019-07-25T14:47:01Z,248,0.08294774088187262,992.5333333333333,0.06000000000000005,0.09599999999999997
0.58,0.92,118.2,9.1,87.3,0.05,116.9,0.1,76,1.67,8.3,28.825,0.976,NA,NA,NA,2019-07-25,2019-07-25T14:47:02Z,248,0.08866358192705498,992.4,0.10999999999999999,0.05400000000000005
0.63,1.03,118.1,9.11,87.3,0.05,116.7,0.11,76,1.65,8.3,28.799,1.03,NA,NA,NA,2019-07-25,2019-07-25T14:47:03Z,248,0.09927871529667938,992.5333333333333,0.020000000000000018,0.026999999999999913
0.66,1.05,117.9,9.11,87.2,0.05,116.7,0.14,76,1.71,8.29,28.753,1.057,NA,NA,NA,2019-07-25,2019-07-25T14:47:04Z,248,0.10050353837778989,992.5333333333333,0.014999999999999902,0.07099999999999995
0.69,1.065,117.5,9.08,87.2,0.05,116.5,0.19,76,1.77,8.29,28.726,1.128,NA,NA,NA,2019-07-25,2019-07-25T14:47:05Z,248,0.10261295590636908,992.5333333333333,0.09699999999999998,0.07500000000000018
0.73,1.162,116.9,9.04,87.3,0.05,116.4,0.22,76,1.78,8.29,28.674,1.203,NA,NA,NA,2019-07-25,2019-07-25T14:47:06Z,248,0.11207131192161132,992.4,0.09200000000000008,0.07699999999999996
0.8,1.254,116.3,9,87.4,0.05,116.6,0.22,76,1.9,8.28,28.585,1.28,NA,NA,NA,2019-07-25,2019-07-25T14:47:07Z,248,0.12091725639629831,992.4,0.08200000000000007,0.07899999999999996
0.9,1.336,115.7,8.97,87.6,0.05,116.8,0.22,76,1.95,8.25,28.503,1.359,NA,NA,NA,2019-07-25,2019-07-25T14:47:08Z,248,0.12881056069678826,992.5333333333333,0.051999999999999824,0.05499999999999994
1,1.388,115.1,8.94,87.9,0.05,117,0.18,76,1.92,8.22,28.434,1.414,NA,NA,NA,2019-07-25,2019-07-25T14:47:09Z,248,0.13377789874795862,992.5333333333333,0.07700000000000018,0.06400000000000006
1.11,1.465,114.7,8.91,87.9,0.05,116.8,0.23,76,2.11,8.2,28.427,1.478,NA,NA,NA,2019-07-25,2019-07-25T14:47:10Z,248,0.1412629286880784,992.5333333333333,0.03799999999999981,0.040999999999999925
1.31,1.503,114.2,8.87,88.2,0.05,116.9,0.34,76,2.38,8.18,28.392,1.519,NA,NA,NA,2019-07-25,2019-07-25T14:47:11Z,248,0.1449373979314099,992.5333333333333,0.04300000000000015,0.04700000000000015
1.25,1.546,113.5,8.83,88.5,0.05,117,0.31,76,2.54,8.16,28.302,1.566,NA,NA,NA,2019-07-25,2019-07-25T14:47:12Z,248,0.1490201415351116,992.5333333333333,0.07299999999999995,0.06799999999999984
1.11,1.619,112.5,8.77,88.7,0.05,117.2,0.22,76,2.58,8.14,28.203,1.634,NA,NA,NA,2019-07-25,2019-07-25T14:47:13Z,248,0.15602885138813283,992.5333333333333,0.030999999999999917,0.027000000000000135
1.21,1.65,110.6,8.63,88.8,0.05,117.4,0.25,76,2.64,8.11,28.111,1.661,NA,NA,NA,2019-07-25,2019-07-25T14:47:14Z,248,0.15902286336418076,992.5333333333333,0.03300000000000014,0.040999999999999925
1.18,1.683,107.9,8.43,89,0.05,117.5,0.31,76,2.49,8.08,28.079,1.702,NA,NA,NA,2019-07-25,2019-07-25T14:47:15Z,248,0.16228905824714207,992.5333333333333,0.04299999999999993,0.038000000000000034
1.35,1.726,100.5,7.86,89.2,0.05,117.6,0.38,76,2.63,8.06,28.043,1.74,NA,NA,NA,2019-07-25,2019-07-25T14:47:16Z,248,0.16643984757757213,992.5333333333333,0.040999999999999925,0.04200000000000004
1.37,1.767,97.6,7.64,89.4,0.05,117.7,0.36,76,2.83,8.03,27.995,1.782,NA,NA,NA,2019-07-25,2019-07-25T14:47:17Z,248,0.1703864997278171,992.5333333333333,0.049000000000000155,0.052000000000000046
1.55,1.816,95.1,7.45,89.7,0.05,117.6,0.3,76,2.71,8,27.961,1.834,NA,NA,NA,2019-07-25,2019-07-25T14:47:18Z,248,0.17508165487207403,992.5333333333333,0.04699999999999993,0.04699999999999993
1.8,1.863,94.6,7.41,89.8,0.05,117.6,0.34,76,2.58,7.98,27.96,1.881,NA,NA,NA,2019-07-25,2019-07-25T14:47:19Z,248,0.17964071856287425,992.5333333333333,0.050999999999999934,0.05899999999999994
1.8,1.914,92.7,7.26,89.9,0.05,117.7,0.41,77,2.43,7.96,27.965,1.94,NA,NA,NA,2019-07-25,2019-07-25T14:47:20Z,248,0.18454001088731628,992.5333333333333,0.05700000000000016,0.040000000000000036
1.91,1.971,90.5,7.09,90,0.05,117.6,0.39,76,2.39,7.94,27.975,1.98,NA,NA,NA,2019-07-25,2019-07-25T14:47:21Z,248,0.19005171475231356,992.5333333333333,0.03600000000000003,0.040000000000000036
1.88,2.007,87.8,6.87,90.2,0.05,117.6,0.37,76,2.37,7.92,27.981,2.02,NA,NA,NA,2019-07-25,2019-07-25T14:47:22Z,248,0.19345400108873162,992.5333333333333,0.03299999999999992,0.040000000000000036
1.75,2.04,85.4,6.68,90.3,0.05,117.5,0.42,76,2.46,7.91,27.968,2.06,NA,NA,NA,2019-07-25,2019-07-25T14:47:23Z,248,0.196720195971693,992.5333333333333,0.04599999999999982,0.03600000000000003
1.51,2.086,82.4,6.46,90.5,0.05,117.5,0.4,76,2.36,7.9,27.949,2.096,NA,NA,NA,2019-07-25,2019-07-25T14:47:24Z,248,0.20114316820903647,992.5333333333333,0.03600000000000003,0.052000000000000046
1.36,2.122,80,6.27,90.7,0.05,117.6,0.33,76,2.26,7.87,27.783,2.148,NA,NA,NA,2019-07-25,2019-07-25T14:47:25Z,248,0.20461350027218292,992.6666666666666,0.07600000000000007,0.06899999999999995
