MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094-EA-05-00,2020-10-05,2020-10-05T14:06:10Z,0.243,0.24,17.807,9.32,98,8.16,2.77,10.93,7.65,203.2,203.7,0.1,132,0.024,37.48211,-94.24341,285.6,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:06:50Z,0.092,0.112,19.198,8.58,92.9,3.48,1.53,8.4,7.51,202.7,202,0.1,131,0.009,37.48211,-94.24339,286,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:06:51Z,0.138,0.159,19.051,8.55,92.5,4.68,1.86,8.89,7.51,202.8,202.3,0.1,131,0.014,37.48211,-94.24339,286,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:06:52Z,0.19,0.199,18.533,8.52,91.7,6.54,2.31,9.68,7.52,203.1,203.8,0.1,132,0.019,37.48211,-94.24339,285.9,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:06:57Z,0.258,0.266,18.129,8.89,94.2,8.94,2.8,11.24,7.54,203.5,202.8,0.1,132,0.025,37.48211,-94.24338,285.3,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:06:58Z,0.285,0.301,18.043,8.94,94.7,9.9,3.06,11.59,7.54,203.6,202.6,0.1,132,0.028,37.48211,-94.24338,285.1,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:06:59Z,0.326,0.341,17.902,9.03,95.4,10.77,3.25,11.6,7.55,203.7,202.5,0.1,132,0.032,37.48211,-94.24338,285,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:07:00Z,0.363,0.386,17.781,9.1,95.8,10.73,3.27,11.43,7.55,203.9,202.5,0.1,132,0.036,37.48211,-94.24338,285.1,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:07:01Z,0.439,0.462,17.545,9.14,95.9,10.32,3.18,11.22,7.56,204,202.6,0.1,132,0.043,37.48211,-94.24338,285.2,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:07:02Z,0.497,0.513,17.476,9.18,96.1,10.09,3.11,10.98,7.56,204.1,202.3,0.1,132,0.049,37.48211,-94.24338,285.2,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:07:03Z,0.542,0.561,17.386,9.24,96.5,10.39,3.1,10.67,7.56,204.1,202.3,0.1,132,0.053,37.48211,-94.24338,285.4,988.3
094-EA-05-00,2020-10-05,2020-10-05T14:07:04Z,0.592,0.611,17.269,9.36,97.6,10.2,3,10.49,7.56,204.2,202.4,0.1,132,0.058,37.48211,-94.24338,285.3,988.1
094-EA-05-00,2020-10-05,2020-10-05T14:07:05Z,0.647,0.67,17.091,9.44,98.1,9.22,2.82,10.69,7.57,204.3,202.6,0.1,132,0.063,37.48211,-94.24338,285.4,988.1
094-EA-05-00,2020-10-05,2020-10-05T14:07:06Z,0.69,0.696,16.903,9.49,98.2,8.46,2.64,10.88,7.57,204.3,202.8,0.1,132,0.068,37.48211,-94.24338,285.6,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:07:07Z,0.72,0.723,16.855,9.53,98.4,8.37,2.57,11.11,7.56,204.4,202.5,0.1,132,0.071,37.48211,-94.24338,285.8,988.1
094-EA-05-00,2020-10-05,2020-10-05T14:07:10Z,0.782,0.795,16.806,9.33,96.3,6.85,2.39,10.67,7.56,204.2,202.2,0.1,131,0.077,37.48211,-94.24338,286.3,988.1
094-EA-05-00,2020-10-05,2020-10-05T14:07:11Z,0.825,0.844,16.627,9.21,94.8,5.8,2.22,10.67,7.55,204.3,202.1,0.1,131,0.081,37.48211,-94.24338,286.3,988.1
094-EA-05-00,2020-10-05,2020-10-05T14:07:12Z,0.868,0.874,16.516,9.02,92.5,6.07,2.13,10.65,7.54,204.2,201.7,0.1,131,0.085,37.4821,-94.24338,286.7,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:07:13Z,0.89,0.897,16.525,8.85,90.7,5.82,2.08,11.04,7.54,204.2,201.5,0.1,131,0.087,37.4821,-94.24338,286.9,988.2
094-EA-05-00,2020-10-05,2020-10-05T14:07:15Z,0.914,0.922,16.545,8.43,86.5,5.52,1.89,11.02,7.53,204,201.7,0.1,131,0.089,37.4821,-94.24339,286.9,988.3
