MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094-MD-04-00,2020-11-04,2020-11-04T16:02:06Z,0.163,0.163,12.175,8.34,77.7,0.35,-0.01,5.61,7.48,202.6,216.8,0.1,141,0.016,37.48327,-94.25095,287.2,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:16Z,0.211,0.229,12.073,8.21,76.4,0.41,0,5.79,7.5,202.5,215.4,0.1,140,0.021,37.48326,-94.25095,287.1,989.3
094-MD-04-00,2020-11-04,2020-11-04T16:02:17Z,0.252,0.254,12.066,8.21,76.4,0.35,0.05,5.99,7.51,202.5,215.2,0.1,140,0.025,37.48326,-94.25095,287.5,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:19Z,0.285,0.294,12.103,8.2,76.3,0.38,0.04,5.43,7.51,202.5,215.3,0.1,140,0.028,37.48326,-94.25095,287.7,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:20Z,0.311,0.322,12.079,8.2,76.3,0.4,0.03,5.5,7.51,202.4,215.4,0.1,140,0.03,37.48326,-94.25095,287.7,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:21Z,0.339,0.349,12.063,8.2,76.2,0.42,-0.01,5.5,7.52,202.4,215.4,0.1,140,0.033,37.48326,-94.25095,287.8,989.3
094-MD-04-00,2020-11-04,2020-11-04T16:02:22Z,0.366,0.375,12.042,8.19,76.2,0.4,0.02,5.42,7.52,202.5,215.1,0.1,140,0.036,37.48326,-94.25095,287.9,989.3
094-MD-04-00,2020-11-04,2020-11-04T16:02:27Z,0.434,0.446,12.033,8.18,76,0.48,-0.03,5.33,7.52,202.4,214.8,0.1,140,0.043,37.48326,-94.25095,287.7,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:35Z,0.55,0.563,12.049,8.16,75.8,0.49,0.07,5.13,7.53,202.2,215.2,0.1,140,0.054,37.48326,-94.25094,288.1,989.3
094-MD-04-00,2020-11-04,2020-11-04T16:02:43Z,0.656,0.662,12.027,8.16,75.8,0.51,0,5.61,7.53,202.2,215,0.1,140,0.064,37.48326,-94.25094,288.6,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:46Z,0.705,0.715,12.026,8.16,75.8,0.68,0.13,5.19,7.53,202.2,214.9,0.1,140,0.069,37.48326,-94.25094,288.5,989.1
094-MD-04-00,2020-11-04,2020-11-04T16:02:47Z,0.731,0.735,12.022,8.16,75.8,0.59,0.12,5.15,7.53,202.2,214.9,0.1,140,0.072,37.48326,-94.25094,288.6,989.1
094-MD-04-00,2020-11-04,2020-11-04T16:02:51Z,0.795,0.803,12.011,8.15,75.7,0.55,0.09,5.22,7.53,202.2,215.1,0.1,140,0.078,37.48326,-94.25094,288.9,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:02:54Z,0.843,0.854,12.011,8.15,75.7,0.63,0.06,4.67,7.53,202.2,215.1,0.1,140,0.083,37.48326,-94.25094,288.9,989.1
094-MD-04-00,2020-11-04,2020-11-04T16:02:55Z,0.875,0.881,12.004,8.15,75.6,0.6,0.06,4.51,7.52,202.3,215.2,0.1,140,0.086,37.48326,-94.25094,288.9,989.1
094-MD-04-00,2020-11-04,2020-11-04T16:03:04Z,1.028,1.032,11.994,8.14,75.6,0.58,0.08,4.81,7.52,202,215.3,0.1,140,0.101,37.48326,-94.25094,288.9,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:09Z,1.094,1.101,11.981,8.14,75.6,0.61,0.1,4.56,7.52,202.1,215.6,0.1,140,0.107,37.48326,-94.25094,289.1,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:16Z,1.184,1.193,11.982,8.13,75.5,0.6,0.09,4.82,7.53,201.9,215.3,0.1,140,0.116,37.48326,-94.25095,289.5,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:17Z,1.207,1.213,11.976,8.13,75.5,0.58,0.13,4.78,7.53,201.9,215.4,0.1,140,0.118,37.48326,-94.25094,289.5,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:30Z,1.386,1.396,11.972,8.13,75.5,0.59,0.12,4.56,7.53,201.6,215.2,0.1,140,0.136,37.48326,-94.25094,289.4,989.3
094-MD-04-00,2020-11-04,2020-11-04T16:03:32Z,1.426,1.441,11.97,8.13,75.4,0.64,0.09,4.66,7.53,201.6,215.1,0.1,140,0.14,37.48326,-94.25094,289.2,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:33Z,1.46,1.47,11.968,8.13,75.4,0.62,0.11,4.57,7.53,201.6,215,0.1,140,0.143,37.48326,-94.25094,289.2,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:34Z,1.487,1.49,11.968,8.13,75.4,0.7,0.13,4.64,7.53,201.6,215,0.1,140,0.146,37.48326,-94.25094,289.2,989.2
094-MD-04-00,2020-11-04,2020-11-04T16:03:40Z,1.566,1.583,11.971,8.13,75.4,0.65,0.08,4.65,7.53,201.6,214.9,0.1,140,0.154,37.48326,-94.25094,289.4,989.1
