MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094,2020-11-04,2020-11-04T13:49:02Z,0.018,0.016,12.468,8.39,78.8,0.55,0.08,5.64,6.45,221.3,214.6,0.1,139,0.002,37.48305,-94.24591,284.5,989.8
094,2020-11-04,2020-11-04T13:49:11Z,0.033,0.075,12.454,8.29,77.8,0.48,0.08,5.84,6.55,222.8,214.4,0.1,139,0.003,37.48305,-94.24591,284.5,989.8
094,2020-11-04,2020-11-04T13:49:12Z,0.122,0.144,12.445,8.28,77.7,0.5,0.12,5.98,6.56,223.2,214.3,0.1,139,0.012,37.48305,-94.24591,284.5,989.8
094,2020-11-04,2020-11-04T13:49:13Z,0.178,0.186,12.444,8.28,77.6,0.57,0.14,5.97,6.57,223.7,214.3,0.1,139,0.017,37.48305,-94.24591,284.5,989.8
094,2020-11-04,2020-11-04T13:49:15Z,0.225,0.245,12.458,8.26,77.5,0.58,0.06,5.99,6.6,224,214.3,0.1,139,0.022,37.48305,-94.24591,284.4,989.8
094,2020-11-04,2020-11-04T13:49:16Z,0.269,0.279,12.453,8.25,77.4,0.6,0.1,6.06,6.61,224.2,214.2,0.1,139,0.026,37.48305,-94.24591,284.4,989.8
094,2020-11-04,2020-11-04T13:49:18Z,0.31,0.317,12.449,8.25,77.3,0.6,0.14,5.69,6.63,224.7,214.2,0.1,139,0.03,37.48306,-94.24591,284.5,989.8
094,2020-11-04,2020-11-04T13:49:19Z,0.33,0.346,12.448,8.24,77.3,0.58,0.07,5.9,6.64,224.8,214.3,0.1,139,0.032,37.48306,-94.24591,284.6,989.7
094,2020-11-04,2020-11-04T13:49:20Z,0.369,0.383,12.447,8.24,77.2,0.57,0.02,6.06,6.64,224.8,214.4,0.1,139,0.036,37.48306,-94.24591,284.6,989.8
094,2020-11-04,2020-11-04T13:49:21Z,0.407,0.427,12.443,8.23,77.2,0.59,0.03,6.04,6.65,224.7,214.3,0.1,139,0.04,37.48306,-94.24591,284.7,989.7
094,2020-11-04,2020-11-04T13:49:22Z,0.451,0.464,12.428,8.22,77.1,0.59,0.05,5.87,6.66,225.1,214.3,0.1,139,0.044,37.48306,-94.24591,284.7,989.9
094,2020-11-04,2020-11-04T13:49:23Z,0.489,0.496,12.409,8.22,77,0.58,0.08,5.79,6.66,225.3,214.3,0.1,139,0.048,37.48306,-94.24591,284.8,989.7
094,2020-11-04,2020-11-04T13:49:24Z,0.514,0.538,12.406,8.22,77,0.61,0.06,5.86,6.67,225.3,214.2,0.1,139,0.05,37.48306,-94.24591,284.8,989.7
094,2020-11-04,2020-11-04T13:49:25Z,0.56,0.569,12.389,8.21,76.9,0.65,0.08,5.9,6.69,225.3,214.3,0.1,139,0.055,37.48306,-94.24591,284.9,989.8
094,2020-11-04,2020-11-04T13:49:26Z,0.593,0.605,12.341,8.2,76.8,0.65,0.13,5.82,6.7,225.4,214.4,0.1,139,0.058,37.48306,-94.24591,285.1,989.7
094,2020-11-04,2020-11-04T13:49:27Z,0.632,0.639,12.334,8.21,76.8,0.65,0.12,5.71,6.71,225.5,214.3,0.1,139,0.062,37.48306,-94.24592,285.2,989.8
094,2020-11-04,2020-11-04T13:49:29Z,0.668,0.678,12.288,8.2,76.6,0.68,0.14,5.64,6.72,225.6,214.4,0.1,139,0.066,37.48306,-94.24592,285.3,989.8
094,2020-11-04,2020-11-04T13:49:30Z,0.693,0.705,12.289,8.2,76.6,0.67,0.12,5.75,6.73,225.5,214.5,0.1,139,0.068,37.48306,-94.24592,285.3,989.8
094,2020-11-04,2020-11-04T13:49:31Z,0.725,0.73,12.307,8.19,76.5,0.65,0.1,5.63,6.74,225.5,214.5,0.1,139,0.071,37.48306,-94.24592,285.4,989.8
