MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094,2020-11-04,2020-11-04T14:49:30Z,0.119,0.12,12.568,8.66,81.4,0.52,0.05,5.9,7.33,187.7,217.8,0.1,142,0.012,37.48544,-94.25082,288.9,989.4
094,2020-11-04,2020-11-04T14:49:36Z,0.159,0.171,12.555,8.57,80.6,0.51,-0.01,5.62,7.35,187.9,218.1,0.1,142,0.016,37.48544,-94.25082,288.1,989.5
094,2020-11-04,2020-11-04T14:49:37Z,0.195,0.22,12.541,8.57,80.5,0.55,0.01,5.46,7.36,187.9,217.6,0.1,141,0.019,37.48544,-94.25082,288.2,989.4
094,2020-11-04,2020-11-04T14:49:38Z,0.251,0.261,12.508,8.56,80.4,0.53,0.05,5.61,7.36,187.8,217.1,0.1,141,0.025,37.48544,-94.25082,288.2,989.5
094,2020-11-04,2020-11-04T14:49:39Z,0.279,0.285,12.493,8.56,80.3,0.49,0.03,5.64,7.37,187.7,217.1,0.1,141,0.027,37.48544,-94.25082,288.3,989.5
094,2020-11-04,2020-11-04T14:49:40Z,0.303,0.317,12.489,8.55,80.3,0.49,0.05,5.51,7.38,187.5,217.2,0.1,141,0.03,37.48544,-94.25082,288.6,989.5
094,2020-11-04,2020-11-04T14:49:41Z,0.333,0.337,12.492,8.55,80.2,0.48,0.02,5.53,7.38,187.5,217.1,0.1,141,0.033,37.48544,-94.25082,288.9,989.6
094,2020-11-04,2020-11-04T14:49:47Z,0.428,0.436,12.488,8.51,79.9,0.59,0.09,5.61,7.4,187.4,217.5,0.1,141,0.042,37.48544,-94.25082,289.4,989.5
094,2020-11-04,2020-11-04T14:49:49Z,0.475,0.482,12.483,8.5,79.8,0.59,0.03,5.56,7.41,187.4,217.5,0.1,141,0.047,37.48544,-94.25082,289.4,989.5
094,2020-11-04,2020-11-04T14:49:50Z,0.494,0.508,12.471,8.49,79.7,0.66,0.08,5.5,7.42,187.5,217.6,0.1,141,0.048,37.48544,-94.25082,289.2,989.5
094,2020-11-04,2020-11-04T14:49:52Z,0.537,0.547,12.449,8.49,79.6,0.58,0.08,6.12,7.42,187.5,217.4,0.1,141,0.053,37.48544,-94.25082,289,989.4
