MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094,2020-11-04,2020-11-04T15:26:34Z,0.002,0.003,13.183,7.99,76.2,0.49,0.03,3.94,7.37,200.5,215.7,0.1,140,0,37.47929,-94.25289,287.8,989.4
094,2020-11-04,2020-11-04T15:26:41Z,0.029,0.042,13.216,7.88,75.2,0.46,0.07,3.84,7.39,200,216.2,0.1,141,0.003,37.47929,-94.2529,288.3,989.3
094,2020-11-04,2020-11-04T15:26:42Z,0.056,0.07,13.152,7.88,75.1,0.47,-0.02,3.93,7.39,199.9,215.8,0.1,140,0.005,37.47929,-94.2529,288.3,989.5
094,2020-11-04,2020-11-04T15:26:43Z,0.096,0.122,13.13,7.89,75.1,0.47,0,3.8,7.4,199.9,215.4,0.1,140,0.009,37.47929,-94.2529,288.4,989.4
094,2020-11-04,2020-11-04T15:26:44Z,0.149,0.163,13.124,7.88,75,0.55,0.01,3.72,7.4,199.9,215.3,0.1,140,0.015,37.47929,-94.2529,288.3,989.3
094,2020-11-04,2020-11-04T15:26:45Z,0.194,0.205,13.126,7.87,75,0.54,-0.01,3.72,7.4,199.8,215.3,0.1,140,0.019,37.47929,-94.2529,288.4,989.3
094,2020-11-04,2020-11-04T15:26:46Z,0.223,0.23,13.121,7.87,74.9,0.52,0.04,3.77,7.41,199.7,215.3,0.1,140,0.022,37.47929,-94.2529,288.4,989.3
094,2020-11-04,2020-11-04T15:26:47Z,0.247,0.255,13.11,7.87,74.9,0.54,0.07,3.8,7.41,199.6,215.4,0.1,140,0.024,37.47929,-94.2529,288.4,989.3
094,2020-11-04,2020-11-04T15:26:48Z,0.268,0.279,13.096,7.86,74.8,0.5,0.04,4.06,7.41,199.5,215.3,0.1,140,0.026,37.47929,-94.2529,288.5,989.3
094,2020-11-04,2020-11-04T15:26:51Z,0.328,0.335,12.958,7.82,74.2,0.51,-0.01,3.83,7.41,199.4,215.8,0.1,140,0.032,37.47929,-94.2529,288.9,989.3
094,2020-11-04,2020-11-04T15:26:53Z,0.352,0.361,12.866,7.81,74,0.44,-0.04,3.94,7.42,199.3,215.8,0.1,140,0.034,37.47929,-94.25289,289,989.3
094,2020-11-04,2020-11-04T15:26:54Z,0.388,0.402,12.761,7.81,73.8,0.44,0.07,3.94,7.42,199.3,216,0.1,140,0.038,37.47929,-94.25289,289.1,989.3
094,2020-11-04,2020-11-04T15:26:56Z,0.433,0.443,12.699,7.81,73.7,0.45,0.05,4.03,7.43,199,215.9,0.1,140,0.042,37.47929,-94.25289,289.4,989.3
094,2020-11-04,2020-11-04T15:26:59Z,0.462,0.47,12.706,7.76,73.3,0.46,0.11,4.05,7.43,199.1,215.2,0.1,140,0.045,37.47929,-94.25289,289.2,989.3
094,2020-11-04,2020-11-04T15:27:01Z,0.492,0.515,12.593,7.76,73,0.45,0.06,4.11,7.43,199,215.5,0.1,140,0.048,37.47929,-94.25289,289.3,989.3
094,2020-11-04,2020-11-04T15:27:02Z,0.548,0.562,12.584,7.75,72.9,0.42,0.08,4.11,7.43,199,215.3,0.1,140,0.054,37.47929,-94.25289,289.5,989.3
094,2020-11-04,2020-11-04T15:27:03Z,0.585,0.589,12.566,7.74,72.8,0.4,0.06,4.19,7.43,198.9,215.3,0.1,140,0.057,37.47929,-94.25289,289.4,989.3
094,2020-11-04,2020-11-04T15:27:04Z,0.603,0.611,12.553,7.72,72.6,0.41,0.05,4.18,7.43,198.9,215.4,0.1,140,0.059,37.47929,-94.25289,290.1,989.3
094,2020-11-04,2020-11-04T15:27:05Z,0.623,0.632,12.532,7.71,72.5,0.44,0.07,4.11,7.43,198.9,215.5,0.1,140,0.061,37.47929,-94.25289,290.9,989.4
094,2020-11-04,2020-11-04T15:27:07Z,0.67,0.673,12.471,7.7,72.2,0.53,0.04,4.18,7.43,198.9,215.9,0.1,140,0.066,37.47929,-94.25289,291.1,989.3
