MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
446,2020-09-15,2020-09-15T15:28:35Z,0.033,0.05,19.099,9.94,107.5,0.76,1.73,15.59,8.35,224.6,357.2,0.17,232,0.003,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:36Z,0.079,0.113,19.098,9.96,107.6,0.74,1.58,13.6,8.35,224.5,357.1,0.17,232,0.008,NA,NA,NA,979.8
446,2020-09-15,2020-09-15T15:28:37Z,0.166,0.196,19.099,9.96,107.7,0.71,1.56,28.78,8.35,224.3,357.1,0.17,232,0.016,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:38Z,0.243,0.26,19.1,9.98,107.9,0.69,1.4,35.44,8.35,224.3,357.2,0.17,232,0.024,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:39Z,0.32,0.352,19.1,9.99,108,0.73,1.32,15.32,8.35,224.4,357.1,0.17,232,0.031,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:40Z,0.414,0.463,19.099,9.99,108,0.71,1.29,12.57,8.36,224.1,357.2,0.17,232,0.041,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:41Z,0.562,0.604,19.097,10,108.1,0.73,1.52,16.66,8.36,223.8,357.2,0.17,232,0.055,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:42Z,0.632,0.671,19.094,10.01,108.2,0.84,1.99,37.13,8.36,223.6,357.3,0.17,232,0.062,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:43Z,0.778,0.81,19.089,10,108.2,1.03,2.66,12.23,8.36,223.4,357.5,0.17,232,0.076,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:44Z,0.872,0.902,19.086,10.01,108.2,0.95,2.55,21.1,8.36,223.3,357.4,0.17,232,0.085,NA,NA,NA,980
446,2020-09-15,2020-09-15T15:28:45Z,0.934,0.946,19.084,10.02,108.3,0.89,2.1,14.73,8.36,223.2,356.9,0.17,232,0.091,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:46Z,0.99,1,19.084,10.02,108.3,0.84,1.88,14.71,8.36,222.9,356.7,0.17,232,0.097,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:48Z,1.048,1.063,19.075,10.02,108.3,0.99,2.11,14.89,8.35,222.4,357.1,0.17,232,0.103,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:49Z,1.088,1.098,19.07,10.02,108.3,0.94,2.2,41,8.35,222.3,357,0.17,232,0.107,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:50Z,1.119,1.135,19.067,10.02,108.2,0.79,2.19,12.22,8.35,222.1,357.8,0.17,233,0.11,NA,NA,NA,980
446,2020-09-15,2020-09-15T15:28:51Z,1.165,1.187,19.066,10.02,108.2,0.93,2.29,33.58,8.35,221.9,357.8,0.17,233,0.114,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:52Z,1.207,1.217,19.067,10.02,108.2,0.85,1.83,19.7,8.35,221.9,357.4,0.17,232,0.118,NA,NA,NA,980
446,2020-09-15,2020-09-15T15:28:53Z,1.242,1.244,19.07,10.02,108.2,0.81,2.03,30.73,8.35,221.8,357.6,0.17,232,0.122,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:57Z,1.178,1.222,19.068,10.01,108.2,1,1.92,17.78,8.35,221.6,357.3,0.17,232,0.115,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:28:58Z,1.249,1.245,19.062,10.01,108.1,1.41,2.28,38.31,8.36,221.6,356.8,0.17,232,0.122,NA,NA,NA,979.8
446,2020-09-15,2020-09-15T15:29:00Z,1.252,1.276,19.062,10.01,108.2,1.6,2.68,31.16,8.36,221.5,357.2,0.17,232,0.123,NA,NA,NA,980
446,2020-09-15,2020-09-15T15:29:01Z,1.32,1.354,19.059,10.01,108.1,1.32,2.32,46.36,8.36,221.3,357.1,0.17,232,0.129,NA,NA,NA,979.9
446,2020-09-15,2020-09-15T15:29:02Z,1.375,1.378,19.056,10.01,108.1,1.44,2.43,12.96,8.36,221.2,357.5,0.17,232,0.135,NA,NA,NA,979.8
446,2020-09-15,2020-09-15T15:29:03Z,1.397,1.398,19.056,10,108,1.35,2.58,42.72,8.36,221.4,357.1,0.17,232,0.137,NA,NA,NA,979.8
