chlorophyll_RFU,depth_m,doSaturation_percent,ODO...CB,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,TAL.PC.RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,phycocyaninBGA_RFU
17.78,0.008,89.9,89.9,7.21,127.4,0.13,272.8,2.66,177,32.8,7.21,26.584,0.011,38.66217,-94.34566,271.2,2021-08-04,2021-08-04T07:59:21Z,433,7.48502994011976e-4,991.6,NA
17.08,0.039,81.7,81.7,6.55,133.5,0.13,273.6,2.58,178,34.19,7.16,26.658,0.057,38.66217,-94.34566,272.4,2021-08-04,2021-08-04T07:59:28Z,433,0.0037425149700598802,991.6,NA
17.84,0.104,80.8,80.8,6.47,134.3,0.13,274,2.69,178,34.34,7.16,26.687,0.129,38.66217,-94.34566,272.5,2021-08-04,2021-08-04T07:59:29Z,433,0.010002721829069134,991.6,NA
18.06,0.159,80,80,6.41,135,0.13,274,2.65,178,33.98,7.15,26.697,0.172,38.66217,-94.34566,272.6,2021-08-04,2021-08-04T07:59:30Z,433,0.01537833424060969,991.6,NA
18.48,0.203,79.2,79.2,6.34,135.7,0.13,274,2.6,178,33.97,7.15,26.699,0.217,38.66217,-94.34566,272.7,2021-08-04,2021-08-04T07:59:31Z,433,0.01952912357103974,991.7333333333332,NA
18.54,0.241,78.6,78.6,6.3,136.4,0.13,274,2.59,178,34.1,7.14,26.701,0.253,38.66217,-94.34566,272.9,2021-08-04,2021-08-04T07:59:32Z,433,0.02320359281437126,991.6,NA
18.65,0.27,78,78,6.25,137.1,0.13,274,2.64,178,33.83,7.14,26.705,0.277,38.66217,-94.34566,272.9,2021-08-04,2021-08-04T07:59:33Z,433,0.02606151333696244,991.7333333333332,NA
18.99,0.297,77.6,77.6,6.21,137.7,0.13,274.1,2.69,178,33.51,7.14,26.705,0.317,38.66216,-94.34566,272.9,2021-08-04,2021-08-04T07:59:34Z,433,0.028647250952640174,991.6,NA
18.95,0.342,77.1,77.1,6.17,138.3,0.13,274.2,2.67,178,33.84,7.14,26.7,0.362,38.66216,-94.34566,272.9,2021-08-04,2021-08-04T07:59:35Z,433,0.03300217746325531,991.4666666666667,NA
18.22,0.403,76.7,76.7,6.14,138.9,0.13,274.2,2.58,178,34.61,7.14,26.703,0.442,38.66217,-94.34566,272.7,2021-08-04,2021-08-04T07:59:36Z,433,0.03892215568862275,991.6,NA
18.06,0.503,76.4,76.4,6.12,139.4,0.13,274.3,2.56,178,34.83,7.14,26.71,0.53,38.66217,-94.34566,272.5,2021-08-04,2021-08-04T07:59:37Z,433,0.04851660315732172,991.4666666666667,NA
18.76,0.582,76.1,76.1,6.09,139.9,0.13,274.3,2.63,178,35.11,7.14,26.707,0.611,38.66217,-94.34566,272.5,2021-08-04,2021-08-04T07:59:38Z,433,0.0561377245508982,991.6,NA
19,0.653,75.8,75.8,6.07,140.5,0.13,274.3,2.67,178,35.2,7.14,26.704,0.67,38.66217,-94.34566,272.4,2021-08-04,2021-08-04T07:59:39Z,433,0.06294229722373436,991.6,NA
18.53,0.702,75.6,75.6,6.05,141,0.13,274.2,2.54,178,34.54,7.14,26.7,0.719,38.66217,-94.34566,272.4,2021-08-04,2021-08-04T07:59:40Z,433,0.06770549809471965,991.4666666666667,NA
18.24,0.744,75.4,75.4,6.04,141.6,0.13,274.2,2.53,178,34.27,7.13,26.697,0.762,38.66217,-94.34566,272.4,2021-08-04,2021-08-04T07:59:41Z,433,0.07178824169842134,991.6,NA
