chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
2.26,0.155,136.4,11.34,27.1,0.015,0.09,187.7,0.47,122,5.35,8.95,24.619,0.173,38.99427,-92.48889,234.8,991.2,2021-06-04,2021-06-04T13:22:26Z,cow
2.31,0.161,144.2,11.99,35.8,0.016,0.09,186.9,0.53,122,5.63,8.98,24.636,0.178,38.99427,-92.48889,233.9,991.2,2021-06-04,2021-06-04T13:22:33Z,cow
2.45,0.156,148.8,12.38,42.7,0.015,0.09,186.6,0.34,121,4.85,9,24.621,0.168,38.99427,-92.48889,233.8,991.2,2021-06-04,2021-06-04T13:22:42Z,cow
2.44,0.153,149.8,12.46,44.4,0.015,0.09,186.8,0.72,121,5.29,9,24.594,0.162,38.99427,-92.48889,233.8,991.3,2021-06-04,2021-06-04T13:22:45Z,cow
2.5,0.188,149.9,12.48,44.9,0.018,0.09,186.8,0.79,121,6.02,9.01,24.534,0.219,38.99427,-92.48889,233.8,991.2,2021-06-04,2021-06-04T13:22:46Z,cow
2.57,0.227,149.9,12.49,45.4,0.022,0.09,186.8,0.67,121,6.77,9.01,24.491,0.24,38.99427,-92.48888,233.8,991.3,2021-06-04,2021-06-04T13:22:47Z,cow
2.59,0.292,150.6,12.57,46.4,0.029,0.09,186.8,0.42,121,5.33,9.02,24.418,0.311,38.99427,-92.48888,233.9,991.2,2021-06-04,2021-06-04T13:22:49Z,cow
2.59,0.336,150.9,12.6,46.9,0.033,0.09,186.8,0.41,121,5.45,9.02,24.397,0.35,38.99427,-92.48888,233.9,991.2,2021-06-04,2021-06-04T13:22:50Z,cow
2.63,0.371,151.5,12.65,47.8,0.036,0.09,186.8,0.67,121,8.45,9.03,24.382,0.395,38.99427,-92.48889,233.9,991.2,2021-06-04,2021-06-04T13:22:52Z,cow
2.61,0.462,151.3,12.65,48.3,0.045,0.09,187,0.73,122,6.73,9.03,24.317,0.479,38.99427,-92.48889,233.9,991.2,2021-06-04,2021-06-04T13:22:53Z,cow
2.76,0.514,151.5,12.68,48.8,0.05,0.09,187.2,0.8,122,6.12,9.03,24.237,0.526,38.99427,-92.48889,233.9,991.1,2021-06-04,2021-06-04T13:22:54Z,cow
3,0.559,151.6,12.71,49.4,0.055,0.09,187.6,0.86,122,5.68,9.03,24.104,0.593,38.99427,-92.48889,233.9,991.1,2021-06-04,2021-06-04T13:22:55Z,cow
3.13,0.614,151.4,12.75,50.7,0.06,0.09,188.2,0.71,122,6.05,9.03,23.813,0.646,38.99427,-92.48889,233.8,991.1,2021-06-04,2021-06-04T13:22:56Z,cow
3.47,0.668,150.6,12.74,51.8,0.065,0.09,188.7,0.74,123,7.19,9.01,23.641,0.68,38.99427,-92.4889,233.8,991.1,2021-06-04,2021-06-04T13:22:57Z,cow
3.53,0.761,147.1,12.47,52.9,0.074,0.09,188.7,0.73,123,6.72,9,23.475,0.787,38.99427,-92.4889,233.7,991.1,2021-06-04,2021-06-04T13:22:58Z,cow
3.77,0.84,146.5,12.46,53.8,0.082,0.09,188.8,0.65,123,6.29,8.98,23.255,0.879,38.99427,-92.4889,233.7,991.2,2021-06-04,2021-06-04T13:22:59Z,cow
4.29,0.907,146.6,12.55,54.8,0.089,0.09,188.8,0.71,123,6.54,8.97,22.868,0.933,38.99427,-92.4889,233.6,991.1,2021-06-04,2021-06-04T13:23:00Z,cow
4.38,0.994,146,12.74,56.6,0.097,0.09,191.5,0.81,124,6.14,8.94,21.971,1.008,38.99427,-92.4889,233.5,991.1,2021-06-04,2021-06-04T13:23:02Z,cow
4.76,1.051,145,12.69,56.9,0.103,0.09,191.3,0.78,124,6.55,8.93,21.918,1.091,38.99427,-92.4889,233.5,991.2,2021-06-04,2021-06-04T13:23:03Z,cow
4.83,1.149,143.2,12.56,58.5,0.112,0.09,190.5,0.65,124,5.87,8.91,21.787,1.163,38.99427,-92.48891,233.3,991.2,2021-06-04,2021-06-04T13:23:06Z,cow
4.68,1.193,142.3,12.5,58.9,0.117,0.09,189.8,0.58,123,6.79,8.9,21.729,1.221,38.99427,-92.48891,233.3,991.1,2021-06-04,2021-06-04T13:23:07Z,cow
4.98,1.235,141,12.41,59.6,0.121,0.09,189.9,0.63,123,7.13,8.89,21.548,1.255,38.99427,-92.48891,233.3,991.2,2021-06-04,2021-06-04T13:23:08Z,cow
5.3,1.29,140.3,12.38,60.8,0.126,0.09,189.5,0.69,123,7.51,8.86,21.527,1.298,38.99427,-92.48891,233.3,991.3,2021-06-04,2021-06-04T13:23:10Z,cow
5.71,1.327,140.1,12.35,62.3,0.13,0.09,189.4,0.62,123,7.77,8.84,21.492,1.332,38.99427,-92.48891,233.3,991.2,2021-06-04,2021-06-04T13:23:11Z,cow
5.97,1.358,139.1,12.28,63.9,0.133,0.09,189.2,0.63,123,7.04,8.8,21.422,1.389,38.99427,-92.48891,233.3,991.1,2021-06-04,2021-06-04T13:23:12Z,cow
5.99,1.403,137.5,12.18,64.9,0.137,0.09,189.6,0.68,123,6.54,8.77,21.207,1.425,38.99427,-92.48891,233.2,991.2,2021-06-04,2021-06-04T13:23:13Z,cow
6.33,1.484,135,12.04,66.9,0.145,0.09,190.2,0.71,124,6.75,8.71,20.919,1.491,38.99427,-92.48891,233.1,991.3,2021-06-04,2021-06-04T13:23:15Z,cow
6.48,1.53,133.2,11.9,68.2,0.15,0.09,190.4,0.6,124,6.57,8.69,20.822,1.561,38.99427,-92.48891,233.1,991.2,2021-06-04,2021-06-04T13:23:16Z,cow
6.71,1.571,131.2,11.75,69.4,0.154,0.09,190.7,0.7,124,6.69,8.66,20.729,1.584,38.99427,-92.48891,233.1,991.1,2021-06-04,2021-06-04T13:23:17Z,cow
