chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
0.19,0.097,122.5,9.14,79.5,0.01,0.11,245.4,-0.48,160,1.11,8.55,30.706,0.095,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:03Z,032,0.021999999999999992,0.03900000000000001
0.14,0.119,122.5,9.14,79.5,0.012,0.11,245.4,-0.52,160,1.03,8.55,30.697,0.134,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:04Z,032,0.07,0.10799999999999998
0.11,0.189,122.5,9.14,79.5,0.018,0.11,245.3,-0.56,159,1.02,8.55,30.694,0.242,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:05Z,032,0.126,0.10999999999999999
0.22,0.315,122.5,9.15,79.7,0.031,0.11,245.4,-0.61,159,1.09,8.55,30.685,0.352,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:06Z,032,0.128,0.135
0.24,0.443,122.5,9.15,79.8,0.043,0.11,245.5,-0.63,160,1.06,8.55,30.679,0.487,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:07Z,032,0.11999999999999994,0.10699999999999998
0.19,0.563,122.6,9.15,79.7,0.055,0.11,245.5,-0.53,160,0.98,8.55,30.677,0.594,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:08Z,032,0.07900000000000007,0.09300000000000008
0.25,0.642,122.6,9.16,79.6,0.063,0.11,245.4,-0.4,159,1.07,8.55,30.677,0.687,NA,NA,99.9,1000.9,2022-06-22,2022-06-22T14:40:09Z,032,0.15200000000000002,0.19199999999999995
0.22,0.794,122.7,9.16,79.5,0.077,0.11,245.3,-0.48,159,1.1,8.55,30.677,0.879,NA,NA,99.9,1000.7,2022-06-22,2022-06-22T14:40:10Z,032,0.22399999999999998,0.19399999999999995
0.17,1.018,122.7,9.16,79.5,0.099,0.11,245.3,-0.53,159,1.03,8.55,30.676,1.073,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:11Z,032,0.1399999999999999,0.11499999999999999
0.23,1.158,122.7,9.16,79.4,0.113,0.11,245.3,-0.54,159,1.07,8.55,30.676,1.188,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:12Z,032,0.07700000000000018,0.04800000000000004
0.27,1.235,122.7,9.16,79.4,0.121,0.11,245.3,-0.62,159,1.07,8.55,30.672,1.236,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:13Z,032,0.03499999999999992,0.06600000000000006
0.23,1.27,122.7,9.16,79.3,0.124,0.11,245.4,-0.6,159,1.17,8.55,30.664,1.302,NA,NA,99.9,1000.9,2022-06-22,2022-06-22T14:40:14Z,032,0.123,0.15599999999999992
0.2,1.393,122.7,9.17,79.3,0.136,0.11,245.4,-0.6,160,1.21,8.55,30.655,1.458,NA,NA,99.9,1000.9,2022-06-22,2022-06-22T14:40:15Z,032,0.15500000000000003,0.13600000000000012
0.22,1.548,122.7,9.16,79.2,0.151,0.11,245.4,-0.53,160,1.2,8.55,30.632,1.594,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:16Z,032,0.11399999999999988,0.08299999999999996
0.29,1.662,122.7,9.17,79.2,0.162,0.11,245.5,-0.5,160,1.18,8.55,30.615,1.677,NA,NA,99.9,1000.9,2022-06-22,2022-06-22T14:40:17Z,032,0.04500000000000015,0.04299999999999993
0.31,1.707,122.8,9.18,79.2,0.167,0.11,245.5,-0.53,160,1.2,8.55,30.615,1.72,NA,NA,99.9,1000.8,2022-06-22,2022-06-22T14:40:18Z,032,0.07299999999999995,0.10699999999999998
