MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
091,2022-06-28,2022-06-28T10:02:33Z,0.049,0.042,27.869,6.65,84.7,1.24,0.34,4.77,7.74,85,183.1,0.09,119,0.005,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:36Z,0.076,0.11,27.87,6.65,84.8,1.17,0.41,4.75,7.75,84.9,183,0.09,119,0.007,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:37Z,0.156,0.19,27.875,6.65,84.8,1.13,0.42,5.01,7.75,84.8,182.9,0.09,119,0.015,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:38Z,0.241,0.275,27.874,6.65,84.8,1.15,0.31,4.95,7.75,84.9,183,0.09,119,0.024,NA,NA,NA,999
091,2022-06-28,2022-06-28T10:02:39Z,0.329,0.364,27.872,6.65,84.7,1.26,0.35,4.74,7.75,85.1,183,0.09,119,0.032,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:40Z,0.442,0.481,27.872,6.65,84.7,1.44,0.33,4.72,7.74,85.5,183,0.09,119,0.043,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:41Z,0.528,0.553,27.87,6.64,84.7,1.57,0.36,4.89,7.74,85.6,183,0.09,119,0.052,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:42Z,0.591,0.601,27.867,6.64,84.7,1.62,0.47,4.94,7.74,85.6,182.9,0.09,119,0.058,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:43Z,0.631,0.657,27.867,6.64,84.7,1.59,0.42,4.97,7.74,85.5,182.9,0.09,119,0.062,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:44Z,0.709,0.734,27.864,6.64,84.7,1.6,0.37,4.88,7.74,85.3,182.9,0.09,119,0.069,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:45Z,0.771,0.79,27.859,6.64,84.6,1.69,0.55,4.81,7.75,85.1,183,0.09,119,0.075,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:46Z,0.821,0.837,27.858,6.64,84.6,1.73,0.55,5.2,7.75,85.1,183,0.09,119,0.08,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:47Z,0.872,0.897,27.857,6.63,84.5,1.74,0.43,5.34,7.75,85.2,182.9,0.09,119,0.085,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:48Z,0.941,0.971,27.856,6.63,84.5,1.64,0.53,5.02,7.74,85.5,182.9,0.09,119,0.092,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:49Z,1.014,1.036,27.857,6.63,84.5,1.71,0.48,4.7,7.74,85.7,182.9,0.09,119,0.099,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:50Z,1.082,1.119,27.857,6.63,84.5,1.77,0.47,4.76,7.74,85.7,182.9,0.09,119,0.106,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:51Z,1.17,1.198,27.852,6.63,84.5,1.73,0.49,4.95,7.74,85.6,182.9,0.09,119,0.114,NA,NA,NA,998.9
091,2022-06-28,2022-06-28T10:02:52Z,1.247,1.27,27.851,6.63,84.5,1.69,0.36,4.89,7.74,85.6,182.9,0.09,119,0.122,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:53Z,1.323,1.359,27.851,6.62,84.4,1.6,0.36,4.96,7.74,85.7,182.9,0.09,119,0.129,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:54Z,1.405,1.432,27.85,6.62,84.4,1.67,0.44,4.88,7.74,85.8,182.9,0.09,119,0.137,NA,NA,NA,998.8
091,2022-06-28,2022-06-28T10:02:55Z,1.484,1.514,27.847,6.62,84.4,1.69,0.4,4.75,7.74,85.9,182.9,0.09,119,0.145,NA,NA,NA,998.9
