MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
098-MB-02-00,2022-08-01,2022-08-01T12:01:33Z,0.098,0.094,29.204,9.03,117.9,0.52,0.4,0.32,8.59,230.8,199.8,0.09,130,0.01,36.60879,-93.31413,275.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:35Z,0.092,0.124,29.21,9.05,118.1,0.5,0.31,0.38,8.59,231.1,199.9,0.09,130,0.009,36.6088,-93.31413,275.2,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:36Z,0.16,0.18,29.215,9.05,118.1,0.51,0.29,0.29,8.59,231.1,199.9,0.09,130,0.016,36.6088,-93.31413,275.1,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:37Z,0.213,0.256,29.216,9.05,118.1,0.52,0.38,0.28,8.59,231.1,200,0.09,130,0.021,36.6088,-93.31413,275.1,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:38Z,0.328,0.358,29.217,9.05,118.2,0.47,0.41,0.34,8.59,231.2,199.9,0.09,130,0.032,36.6088,-93.31413,275.4,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:39Z,0.398,0.406,29.217,9.05,118.2,0.44,0.41,0.38,8.59,231.2,199.9,0.09,130,0.039,36.6088,-93.31413,275.3,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:40Z,0.433,0.466,29.217,9.05,118.2,0.45,0.4,0.37,8.59,231.3,199.9,0.09,130,0.042,36.6088,-93.31413,275.4,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:41Z,0.5,0.505,29.218,9.05,118.2,0.46,0.36,0.4,8.59,231.4,199.9,0.09,130,0.049,36.6088,-93.31412,275.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:42Z,0.535,0.56,29.219,9.05,118.2,0.48,0.34,0.43,8.59,231.5,200,0.09,130,0.052,36.60881,-93.31412,275.8,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:43Z,0.599,0.615,29.219,9.06,118.2,0.5,0.34,0.47,8.59,231.6,200,0.09,130,0.058,36.60881,-93.31412,275.9,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:44Z,0.64,0.661,29.219,9.06,118.3,0.5,0.38,0.47,8.59,231.7,200.1,0.09,130,0.062,36.60881,-93.31412,275.9,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:46Z,0.679,0.686,29.22,9.06,118.2,0.58,0.34,0.44,8.58,231.9,200,0.09,130,0.066,36.60881,-93.31411,276,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:48Z,0.721,0.754,29.222,9.06,118.3,0.53,0.39,0.43,8.58,232,200,0.09,130,0.07,36.60881,-93.31411,276,985.3
098-MB-02-00,2022-08-01,2022-08-01T12:01:49Z,0.795,0.815,29.222,9.06,118.3,0.5,0.43,0.42,8.58,232.1,200,0.09,130,0.078,36.60881,-93.31411,275.9,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:50Z,0.853,0.898,29.222,9.06,118.3,0.52,0.4,0.42,8.58,232.1,200.1,0.09,130,0.083,36.60882,-93.31411,276,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:51Z,0.946,0.96,29.22,9.06,118.3,0.51,0.37,0.51,8.58,232.2,200.1,0.09,130,0.092,36.60882,-93.3141,276.3,985.3
098-MB-02-00,2022-08-01,2022-08-01T12:01:52Z,1.011,1.059,29.219,9.06,118.3,0.49,0.38,0.55,8.58,232.3,200,0.09,130,0.099,36.60882,-93.3141,276.3,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:53Z,1.104,1.109,29.218,9.06,118.3,0.5,0.41,0.36,8.58,232.4,200,0.09,130,0.108,36.60883,-93.3141,276.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:54Z,1.168,1.215,29.214,9.06,118.3,0.54,0.34,0.38,8.58,232.4,200,0.09,130,0.114,36.60883,-93.3141,276.5,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:55Z,1.283,1.33,29.203,9.07,118.4,0.58,0.34,0.42,8.58,232.4,200.1,0.09,130,0.125,36.60883,-93.3141,276.6,985.3
098-MB-02-00,2022-08-01,2022-08-01T12:01:56Z,1.394,1.407,29.197,9.07,118.4,0.63,0.4,0.39,8.58,232.5,200.1,0.09,130,0.136,36.60883,-93.31409,276.2,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:01:57Z,1.449,1.501,29.195,9.07,118.4,0.62,0.44,0.4,8.58,232.5,200,0.09,130,0.142,36.60884,-93.31409,276.2,985.3
098-MB-02-00,2022-08-01,2022-08-01T12:01:58Z,1.536,1.532,29.191,9.07,118.4,0.6,0.46,0.33,8.58,232.6,200,0.09,130,0.15,36.60884,-93.31409,276.3,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:01:59Z,1.57,1.618,29.187,9.08,118.5,0.62,0.37,0.34,8.58,232.6,200,0.09,130,0.153,36.60884,-93.31409,276.1,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:00Z,1.667,1.669,29.183,9.08,118.5,0.62,0.36,0.34,8.59,232.6,200,0.09,130,0.163,36.60884,-93.31409,276,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:01Z,1.706,1.755,29.186,9.08,118.5,0.66,0.44,0.39,8.59,232.6,199.9,0.09,130,0.167,36.60885,-93.31409,275.9,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:02Z,1.795,1.793,29.191,9.09,118.6,0.65,0.42,0.4,8.59,232.6,200,0.09,130,0.175,36.60885,-93.31409,276,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:03Z,1.867,1.915,29.192,9.08,118.6,0.6,0.38,0.47,8.59,232.6,200,0.09,130,0.182,36.60885,-93.31409,275.8,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:04Z,1.945,1.982,29.192,9.09,118.6,0.66,0.37,0.5,8.59,232.7,200.1,0.09,130,0.19,36.60886,-93.31409,275.8,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:05Z,2.029,2.039,29.182,9.09,118.6,0.7,0.37,0.51,8.59,232.7,200,0.09,130,0.198,36.60886,-93.31409,275.8,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:06Z,2.106,2.173,29.172,9.09,118.6,0.7,0.46,0.48,8.59,232.7,199.9,0.09,130,0.206,36.60886,-93.31409,275.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:07Z,2.233,2.235,29.172,9.1,118.7,0.68,0.49,0.42,8.59,232.7,199.8,0.09,130,0.218,36.60886,-93.31409,275.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:08Z,2.259,2.274,29.175,9.1,118.7,0.73,0.38,0.32,8.59,232.7,199.8,0.09,130,0.221,36.60886,-93.31409,275.5,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:09Z,2.282,2.299,29.178,9.1,118.7,0.79,0.39,0.37,8.59,232.8,199.9,0.09,130,0.223,36.60887,-93.31409,275.6,985.4
098-MB-02-00,2022-08-01,2022-08-01T12:02:10Z,2.347,2.379,29.18,9.1,118.8,0.74,0.42,0.39,8.59,232.8,199.9,0.09,130,0.229,36.60887,-93.31409,275.6,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:11Z,2.472,2.516,29.185,9.1,118.7,0.74,0.39,0.32,8.59,232.9,200.1,0.09,130,0.241,36.60887,-93.31409,275.5,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:12Z,2.583,2.662,29.192,9.1,118.7,0.75,0.41,0.46,8.58,233,200.1,0.09,130,0.252,36.60888,-93.31409,275.4,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:13Z,2.774,2.805,29.194,9.1,118.7,0.77,0.36,0.53,8.59,233,200,0.09,130,0.271,36.60888,-93.31409,275.1,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:14Z,2.886,2.967,29.194,9.1,118.7,0.8,0.33,0.48,8.59,232.9,199.9,0.09,130,0.282,36.60888,-93.31409,274.9,985.5
098-MB-02-00,2022-08-01,2022-08-01T12:02:15Z,3.04,3.033,29.184,9.09,118.6,0.83,0.37,0.42,8.59,232.8,199.8,0.09,130,0.297,36.60888,-93.31409,274.9,985.5
