chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
1.21,0.035,76.4,6.11,54.6,0.003,0.09,185,0.99,120,92.2,7.58,26.715,0.048,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:08Z,165
1.15,0.118,76.3,6.11,54.8,0.012,0.09,184.9,1,120,97.91,7.58,26.717,0.154,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:10Z,165
1.14,0.212,76.3,6.11,55,0.021,0.09,185,0.98,120,97.1,7.57,26.698,0.245,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:11Z,165
1.14,0.31,76.1,6.1,55,0.03,0.09,185.1,1.02,120,97.97,7.58,26.69,0.357,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:12Z,165
1.15,0.443,75.7,6.07,55,0.043,0.09,185.2,0.99,120,111.94,7.58,26.607,0.482,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:13Z,165
1.17,0.55,75.1,6.05,55.2,0.054,0.09,185.4,1.08,121,93.55,7.58,26.347,0.586,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:15Z,165
1.16,0.633,74.7,6.03,55.2,0.062,0.09,185.6,1.02,121,98.76,7.58,26.161,0.666,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:16Z,165
1.14,0.727,74.1,6.01,55.6,0.071,0.09,185.6,1.02,121,94.61,7.58,25.987,0.778,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:17Z,165
1.12,0.847,73.4,5.97,56.1,0.083,0.09,185.5,0.98,121,141.84,7.57,25.776,0.873,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:18Z,165
1.06,0.965,72.8,5.94,56.3,0.094,0.09,185.3,0.93,120,90.63,7.57,25.662,1.025,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:19Z,165
1.06,1.09,71.8,5.86,56.4,0.107,0.09,185,0.88,120,91.55,7.57,25.553,1.119,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:20Z,165
1.01,1.174,71.1,5.83,56.5,0.115,0.09,185.2,0.9,120,154.21,7.57,25.269,1.201,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:21Z,165
0.92,1.251,68.8,5.67,57.3,0.122,0.09,186.3,0.96,121,155.12,7.58,24.821,1.301,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:22Z,165
0.84,1.428,62,5.18,58.1,0.14,0.09,192.4,0.99,125,236.81,7.58,22.433,1.465,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:23Z,165
0.77,1.532,59.2,5.18,58.8,0.15,0.09,191.3,1.01,124,194.82,7.57,21.952,1.578,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:24Z,165
0.78,1.637,53.9,4.73,59.3,0.16,0.09,189.9,1.05,123,195.86,7.56,21.442,1.665,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:25Z,165
0.79,1.715,51.9,4.59,60.1,0.168,0.09,188.3,1.04,122,221.51,7.55,21.511,1.728,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:26Z,165
0.82,1.777,44.5,3.92,60.8,0.174,0.09,187.9,1.05,122,230.71,7.54,21.438,1.805,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:27Z,165
0.84,1.862,39.3,3.49,61.5,0.182,0.09,188.5,1.12,123,311.28,7.53,21.064,1.943,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:28Z,165
0.83,2.05,36,3.22,62.6,0.201,0.09,189.6,1.28,123,330.32,7.51,20.583,2.086,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:29Z,165
0.82,2.157,34.7,3.13,63.5,0.211,0.09,190.7,1.36,124,355.92,7.49,20.399,2.203,NA,NA,NA,979.5,2022-06-08,2022-06-08T14:04:30Z,165
0.83,2.285,32.2,2.91,64.5,0.224,0.09,191.5,1.35,124,370.13,7.48,20.309,2.329,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:31Z,165
0.85,2.414,28.8,2.61,65.3,0.236,0.09,193.2,1.38,126,456.59,7.46,20.074,2.451,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:32Z,165
0.85,2.504,26.3,2.39,65.5,0.245,0.09,194.7,1.48,127,477.9,7.44,19.911,2.516,NA,NA,NA,979.4,2022-06-08,2022-06-08T14:04:33Z,165
0.93,2.629,20.3,1.85,65,0.257,0.09,193.4,2.16,126,2556.85,7.22,20.002,2.657,NA,NA,NA,979.3,2022-06-08,2022-06-08T14:04:36Z,165
