chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
1.61,0.052,66.3,5.29,33.1,0.005,0.09,184.5,3.78,120,18.16,7.79,26.907,0.05,38.88875,-94.32332,294.6,981.4,2022-08-16,2022-08-16T12:36:50Z,165
1.52,0.165,66.1,5.27,32.9,0.016,0.09,184.5,3.96,120,18.19,7.79,26.919,0.2,38.88875,-94.32332,294.7,981.5,2022-08-16,2022-08-16T12:36:54Z,165
1.58,0.246,66.1,5.27,32.9,0.024,0.09,184.5,3.88,120,17.77,7.79,26.922,0.266,38.88875,-94.32332,294.8,981.4,2022-08-16,2022-08-16T12:36:55Z,165
1.55,0.366,65.9,5.26,32.9,0.036,0.09,184.5,3.9,120,17.76,7.79,26.922,0.388,38.88875,-94.32332,294.8,981.4,2022-08-16,2022-08-16T12:36:57Z,165
1.62,0.561,65.7,5.24,33,0.055,0.09,184.5,3.65,120,16.81,7.8,26.929,0.584,38.88875,-94.32333,294.7,981.4,2022-08-16,2022-08-16T12:37:01Z,165
1.73,0.96,65.1,5.2,32.9,0.094,0.09,184.5,3.61,120,17.9,7.8,26.922,0.987,38.88875,-94.32333,294.7,981.5,2022-08-16,2022-08-16T12:37:10Z,165
1.7,1.029,65.1,5.19,32.8,0.101,0.09,184.5,3.5,120,18.63,7.81,26.922,1.053,38.88875,-94.32333,294.8,981.4,2022-08-16,2022-08-16T12:37:11Z,165
1.69,1.092,65.1,5.19,32.8,0.107,0.09,184.5,3.6,120,18.46,7.81,26.921,1.116,38.88876,-94.32333,294.8,981.5,2022-08-16,2022-08-16T12:37:12Z,165
1.77,1.156,65,5.19,32.8,0.113,0.09,184.5,3.61,120,18.28,7.81,26.92,1.181,38.88876,-94.32333,294.9,981.5,2022-08-16,2022-08-16T12:37:13Z,165
1.88,1.237,65,5.18,32.8,0.121,0.09,184.4,3.6,120,17.8,7.81,26.92,1.261,38.88876,-94.32333,294.9,981.4,2022-08-16,2022-08-16T12:37:14Z,165
1.81,1.636,64.6,5.15,32.6,0.16,0.09,183.9,3.48,120,18.31,7.82,26.881,1.655,38.88876,-94.32333,294.7,981.4,2022-08-16,2022-08-16T12:37:22Z,165
1.76,2.026,63.6,5.08,32.8,0.198,0.09,183.8,3.37,119,19.35,7.82,26.839,2.051,38.88876,-94.32333,294.5,981.4,2022-08-16,2022-08-16T12:37:30Z,165
1.73,2.146,62.8,5.02,33.1,0.21,0.09,184.2,3.21,120,18.54,7.82,26.805,2.171,38.88876,-94.32333,294.5,981.5,2022-08-16,2022-08-16T12:37:32Z,165
1.63,2.269,61.9,4.95,33.2,0.222,0.09,184.5,3.28,120,17.5,7.81,26.795,2.293,38.88876,-94.32333,294.5,981.5,2022-08-16,2022-08-16T12:37:34Z,165
