MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
PartyCove,2022-07-11,2022-07-11T13:19:00Z,0.1,0.176,30.951,9.41,126.5,1.21,0.26,2.65,8.59,75.7,266.6,0.12,173,0.01,38.1011,-92.65719,201.5,987.4
PartyCove,2022-07-11,2022-07-11T13:19:01Z,0.257,0.281,30.985,9.41,126.7,1.23,0.33,2.63,8.58,76.6,266.5,0.12,173,0.025,38.1011,-92.65719,201.4,987.3
PartyCove,2022-07-11,2022-07-11T13:19:02Z,0.357,0.421,30.976,9.41,126.6,1.28,0.41,2.78,8.58,77,266.5,0.12,173,0.035,38.1011,-92.65719,201.1,987.4
PartyCove,2022-07-11,2022-07-11T13:19:03Z,0.514,0.547,30.93,9.41,126.6,1.37,0.4,2.91,8.58,77.6,266.7,0.12,173,0.05,38.1011,-92.65719,201,987.4
PartyCove,2022-07-11,2022-07-11T13:19:04Z,0.617,0.66,30.868,9.42,126.6,1.45,0.46,2.94,8.58,77.9,266.8,0.12,173,0.06,38.1011,-92.6572,200.7,987.3
PartyCove,2022-07-11,2022-07-11T13:19:05Z,0.723,0.762,30.835,9.43,126.6,1.56,0.54,3,8.58,78.4,266.8,0.12,173,0.071,38.1011,-92.6572,200.6,987.4
PartyCove,2022-07-11,2022-07-11T13:19:06Z,0.82,0.876,30.792,9.43,126.6,1.64,0.53,3.1,8.58,78.8,266.8,0.12,173,0.08,38.1011,-92.6572,200,987.4
PartyCove,2022-07-11,2022-07-11T13:19:07Z,0.933,0.938,30.773,9.44,126.7,1.63,0.56,2.85,8.58,79.3,266.7,0.12,173,0.091,38.1011,-92.6572,199.7,987.4
PartyCove,2022-07-11,2022-07-11T13:19:08Z,0.973,0.977,30.77,9.45,126.8,1.64,0.55,2.75,8.58,79.9,266.6,0.12,173,0.095,38.10111,-92.6572,199.2,987.4
PartyCove,2022-07-11,2022-07-11T13:19:09Z,1.026,1.076,30.769,9.45,126.8,1.7,0.58,2.75,8.58,80.6,266.6,0.12,173,0.1,38.10111,-92.6572,199,987.4
PartyCove,2022-07-11,2022-07-11T13:19:10Z,1.133,1.157,30.736,9.46,126.8,1.8,0.56,2.91,8.58,80.9,266.6,0.12,173,0.111,38.10111,-92.6572,198.7,987.4
