MULakeNumber,date,dateTime,depth_m,chlorophyll_RFU,turbidity_FNU,specificConductivity_uSpcm,doConcentration_mgpL,doSaturation_percent,temp_degC,barometerAirHandheld_mbars
003,2018-05-29,2018-05-29T13:58:52Z,0.081,0.568,0.32,204.1,7.64,99.3,28.966,981.7333333333332
003,2018-05-29,2018-05-29T13:58:54Z,0.106,0.581,0.31,204.2,7.64,99.3,28.968,981.8666666666668
003,2018-05-29,2018-05-29T13:58:56Z,0.14,0.578,0.32,204.2,7.64,99.3,28.965,981.8666666666668
003,2018-05-29,2018-05-29T13:58:58Z,0.184,0.587,0.31,204.3,7.64,99.3,28.956,981.8666666666668
003,2018-05-29,2018-05-29T13:59:00Z,0.224,0.597,0.3,204.3,7.63,99.2,28.948,981.7333333333332
003,2018-05-29,2018-05-29T13:59:02Z,0.272,0.629,0.27,204.3,7.63,99.2,28.938,981.7333333333332
003,2018-05-29,2018-05-29T13:59:04Z,0.316,0.654,0.28,204.3,7.63,99.1,28.926,981.8666666666668
003,2018-05-29,2018-05-29T13:59:06Z,0.367,0.669,0.26,204.3,7.63,99.1,28.914,981.8666666666668
003,2018-05-29,2018-05-29T13:59:08Z,0.415,0.679,0.26,204.3,7.63,99.1,28.904,981.8666666666668
003,2018-05-29,2018-05-29T13:59:10Z,0.468,0.672,0.26,204.3,7.63,99,28.897,981.8666666666668
003,2018-05-29,2018-05-29T13:59:12Z,0.518,0.67,0.27,204.3,7.63,99,28.894,981.8666666666668
003,2018-05-29,2018-05-29T13:59:14Z,0.572,0.648,0.29,204.3,7.63,99,28.889,981.8666666666668
003,2018-05-29,2018-05-29T13:59:16Z,0.622,0.629,0.3,204.4,7.63,99,28.885,981.8666666666668
003,2018-05-29,2018-05-29T13:59:18Z,0.672,0.628,0.3,204.4,7.62,99,28.882,981.8666666666668
003,2018-05-29,2018-05-29T13:59:20Z,0.725,0.617,0.31,204.3,7.63,99,28.879,981.8666666666668
003,2018-05-29,2018-05-29T13:59:22Z,0.771,0.616,0.32,204.3,7.62,99,28.877,981.7333333333332
003,2018-05-29,2018-05-29T13:59:24Z,0.821,0.608,0.31,204.3,7.62,98.9,28.874,981.8666666666668
003,2018-05-29,2018-05-29T13:59:26Z,0.866,0.623,0.3,204.3,7.62,98.9,28.872,981.8666666666668
003,2018-05-29,2018-05-29T13:59:28Z,0.912,0.632,0.3,204.3,7.62,98.9,28.87,981.8666666666668
003,2018-05-29,2018-05-29T13:59:30Z,0.949,0.631,0.27,204.3,7.62,98.9,28.868,981.8666666666668
003,2018-05-29,2018-05-29T13:59:32Z,0.983,0.641,0.28,204.3,7.62,98.9,28.867,981.8666666666668
003,2018-05-29,2018-05-29T13:59:34Z,1.008,0.666,0.29,204.3,7.62,98.9,28.866,981.8666666666668
003,2018-05-29,2018-05-29T13:59:36Z,1.034,0.668,0.29,204.3,7.62,98.8,28.864,981.7333333333332
003,2018-05-29,2018-05-29T13:59:38Z,1.058,0.657,0.29,204.3,7.62,98.8,28.862,981.8666666666668
003,2018-05-29,2018-05-29T13:59:40Z,1.083,0.651,0.28,204.3,7.62,98.8,28.861,981.8666666666668
003,2018-05-29,2018-05-29T13:59:42Z,1.105,0.638,0.28,204.3,7.62,98.8,28.859,981.7333333333332
003,2018-05-29,2018-05-29T13:59:44Z,1.128,0.64,0.3,204.3,7.61,98.8,28.856,981.8666666666668
003,2018-05-29,2018-05-29T13:59:46Z,1.149,0.651,0.3,204.3,7.61,98.8,28.852,981.8666666666668
003,2018-05-29,2018-05-29T13:59:48Z,1.17,0.689,0.31,204.3,7.61,98.8,28.844,981.7333333333332
003,2018-05-29,2018-05-29T13:59:50Z,1.193,0.748,0.3,204.5,7.62,98.7,28.789,981.8666666666668
003,2018-05-29,2018-05-29T13:59:52Z,1.216,0.828,0.32,204.8,7.62,98.7,28.699,981.8666666666668
003,2018-05-29,2018-05-29T13:59:54Z,1.239,0.888,0.34,205,7.63,98.6,28.63,981.8666666666668
003,2018-05-29,2018-05-29T13:59:56Z,1.26,0.945,0.36,205.2,7.64,98.7,28.562,981.8666666666668
