MULakeNumber,date,dateTime,depth_m,chlorophyll_RFU,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,latitude,longitude,altitude_m,barometerAirHandheld_mbars
003,2022-05-31,2022-05-31T10:57:45Z,0.14,5.68,121.1,10.49,70.7,0.019,0.1,205.8,0.73,134,6.76,8.51,22.443,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:47Z,0.184,4.96,121.2,10.5,71.3,0.013,0.1,205.9,0.74,134,6.91,8.51,22.443,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:48Z,0.268,5.19,121.2,10.5,71.4,0.024,0.1,205.9,0.76,134,6.98,8.51,22.434,NA,NA,NA,985.7
003,2022-05-31,2022-05-31T10:57:49Z,0.35,5.65,121.2,10.5,71.6,0.032,0.1,206,0.84,134,7.07,8.51,22.433,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:50Z,0.456,5.98,121.2,10.5,71.7,0.04,0.1,206,0.81,134,7.04,8.51,22.431,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:53Z,0.607,6.05,121.1,10.49,72.1,0.055,0.1,206,0.8,134,6.85,8.51,22.428,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:54Z,0.669,6.15,121.1,10.5,72.2,0.063,0.1,206,0.85,134,6.79,8.51,22.424,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:55Z,0.743,6.24,121.1,10.5,72.4,0.07,0.1,206,0.85,134,6.9,8.5,22.422,NA,NA,NA,985.9
003,2022-05-31,2022-05-31T10:57:56Z,0.823,6.26,121.1,10.5,72.6,0.077,0.1,205.9,0.81,134,6.96,8.5,22.418,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:57Z,0.916,6.31,121.1,10.5,73,0.087,0.1,206.1,0.81,134,6.87,8.5,22.413,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:57:58Z,1.005,6.35,121,10.49,73.2,0.095,0.1,206.1,0.81,134,6.78,8.5,22.411,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:58:00Z,1.136,6.28,120.9,10.48,73.5,0.108,0.1,206.1,0.72,134,7,8.49,22.408,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:58:01Z,1.201,6.38,120.7,10.47,73.7,0.115,0.1,206.2,0.74,134,7.01,8.49,22.407,NA,NA,NA,985.8
003,2022-05-31,2022-05-31T10:58:02Z,1.291,6.51,120.7,10.47,73.8,0.124,0.1,206.1,0.8,134,6.84,8.49,22.406,NA,NA,NA,985.8
