MULakeNumber,date,minDepth_m,maxDepth_m,numberOfMeasurements_temperature,thermoclineDepth_m_thresh0.3,top_metalimnion_m,bottom_metalimnion_m,epilimnion_temp_degC,hypolimnion_temp_degC,above_thermocline_temp_degC,below_thermocline_temp_degC,delta_hypo_epi_waterDensity_kgperm3,metalimnionDensityGradient_kgperm3perm,epiToHypoDensityGradient_kgperm3perm,buoyancyfrequency_1_s2,numberOfMeasurements_do,minDO_mgpL,maxDO_mgpL,minDO_percent,maxDO_percent,DO_mgpL_profileMean,DO_percent_profileMean,epilimnion_DO_mgpL,hypolimnion_DO_mgpL,epilimnion_DO_percent,hypolimnion_DO_percent,depthMaxDOpercentage_m,Oxycline_m,Hypoxycline_m,Anoxycline_m,depthChlMax_m,depthBGAMax_m,ratioMaxBGtochl_RFUperRFU,epilimnion_chlorophyll_RFU,epilimnion_phycocyaninBGA_RFU,ratioEpiBGtochl_RFUperRFU,hypolimnion_orp_mV,bottom0.5m_orp_mV,site_latitude,site_longitude,site_altitude_m,surface_doConcentration_mgpL,surface_temp_degC,surface_pH
003,2022-05-31,0.10033333333333332,15.179333333333334,75,3.1470000000000002,2.3738378149012167,5.115701802663881,22.405358974358975,7.124777777777778,22.03754901960784,8.288522988505747,2.2163348627456116,0.712948365913776,0.24734227552270135,0.018091968717195154,75,0.04,10.5,0.3333333333333333,121.2,3.853022222222222,40.468444444444444,10.439743589743589,1.3820138888888889,120.4025641025641,11.56875,0.2673333333333333,3.2983333333333333,5.8486666666666665,13.421666666666669,2.0273333333333334,0.673,0.1134301270417423,6.416153846153846,0.7702564102564102,0.12004955440994285,113.57986111111111,121.84444444444445,NA,NA,NA,10.494444444444445,22.436999999999998,8.508891729157614
003,2022-06-21,0.065,12.231,118,2.91,5.768224667271385,6.109465177298258,22.08531884057971,6.863066666666667,27.32615,10.000333333333334,2.1549332326246713,0.7117016681205233,0.34280814639300367,0.06048554317374276,118,0.59,10.89,4.7,139.4,5.005338983050847,59.21186440677966,7.825797101449275,0.9824444444444445,95.11159420289854,8.153333333333334,0.065,2.1245000000000003,5.02,8.732,3.388,3.444,0.2921615201900237,1.8808695652173912,0.6579710144927536,0.34982277700724307,137.87777777777777,143.675,39.341639576271184,-91.15297330508474,240.0677966101695,10.764285714285714,28.61057142857143,8.83
003,2022-07-18,0.036,16.315333333333335,70,2.6990000000000003,1.4220827591518233,6.277377590748513,27.725866666666665,6.0835585585585585,27.311729166666666,8.932358024691357,3.623900503764503,0.689330859488641,0.3423517219737141,0.014208296786166311,70,0.06333333333333334,8.73,0.5,110.73333333333332,2.4235238095238096,29.38142857142857,8.655666666666667,0.191981981981982,110.09666666666666,1.572972972972973,1.1336666666666666,2.2366666666666664,3.9186666666666663,5.005333333333334,3.463333333333334,2.1256666666666666,0.2512218963831867,1.8296666666666668,0.4671666666666667,0.25532883949717616,93.53423423423423,-96.95,39.34134542857143,-91.15287942857142,238.9740476190476,8.606666666666666,27.885444444444445,8.3178146472166965
003,2022-08-08,0.026,10.524,126,3.5495,6.722507800443925,6.926340942321786,21.47702409638554,6.558075,28.070978260869566,9.7423875,2.0309880322394065,0.23740932396360898,0.37863900479792345,0.035358080188746165,126,0.32,7.97,2.5,103.8,3.680793650793651,44.574603174603176,5.314096385542169,0.50575,65.41686746987952,4.1375,0.831,3.0075000000000003,5.003,6.38,3.881,3.937,0.18907563025210086,2.270963855421687,0.4055421686746988,0.1785771128441827,98.6175,103.37777777777778,39.34159611111111,-91.15314412698412,238.54603174603176,7.911666666666667,29.392666666666667,8.38
005,2022-05-31,0.127,14.373,136,2.613,4.098555186462875,5.680687664609217,21.21053125,6.479494382022472,23.449590909090908,7.948157894736842,1.9753564237761339,0.2913783350386766,0.2476139168987495,0.018288982933240407,136,0.01,9.63,0.1,111.3,3.7730882352941175,38.31029411764706,9.1396875,1.5651685393258428,103.415625,12.96179775280899,0.127,2.9015,9.364,10.826,3.929,3.929,0.18166089965397925,1.5403125,0.3075,0.19963481436396835,77.65393258426967,-16.816666666666666,NA,NA,NA,9.176,25.0106,8.28
005,2022-06-21,0.063,14.144,168,2.263,4.804007662483681,5.144675460150187,24.808797297297296,6.8773,29.4232,10.3271171875,2.8112850346385585,0.5978412290634132,0.38817390552670583,0.0635925594402568,168,0.32,10.47,2.5,116.6,4.461130952380953,51.32559523809524,8.419054054054055,1.199888888888889,101.94189189189188,10.12111111111111,2.774,3.9165,6.335,9.136,3.221,4.626,0.3218884120171674,1.0022972972972972,0.25472972972972974,0.2541458810839963,34.38666666666667,-90,39.020844345238096,-90.9201831547619,168.34345238095239,8.353,29.9465,8.216073533582655
005,2022-07-18,0.14966666666666667,13.324666666666667,76,3.4553333333333334,2.011232473753864,6.120608838222963,28.976166666666668,6.412571428571429,28.070263157894736,8.514380116959064,3.9715206481190535,0.9073815365820012,0.4556052363787613,0.03571271962047239,76,0.1,8.346666666666666,0.8,104.2,2.9194298245614037,34.803947368421056,7.960333333333334,0.32666666666666666,103.54,2.6912698412698415,1.838666666666667,3.9673333333333334,5.103666666666666,6.2603333333333335,3.3586666666666667,4.208666666666667,1.1280701754385967,0.615,0.08266666666666667,0.13441734417344173,-40.969047619047615,-114.07777777777777,39.02099671052632,-90.92028499999999,169.41315789473686,7.846666666666667,29.540166666666664,8.13166986469367
005,2022-08-08,0.013,11.611,130,4.4925,5.690086754144165,6.25793355561038,26.818424242424243,7.250155172413793,29.073745454545456,8.816306666666666,3.324234387428305,0.4547069983776239,0.5459029810651858,0.034380427513550055,130,0.51,8.95,4.1,115.3,4.678076923076923,56.87461538461538,7.909090909090909,1.1624137931034484,100.8030303030303,9.782758620689656,2.724,4.827999999999999,7.033,8.633,3.605,3.849,1.010344827586207,1.326969696969697,0.8040909090909091,0.6059602649006622,15.363793103448275,-50.32,39.02103392307693,-90.92015476923076,166.33923076923077,8.45,31.100285714285715,8.23
011,2022-06-16,0.16,6.706,67,3.4615,4.661135510967046,6.043873545602072,25.81565909090909,14.694333333333333,28.280074074074076,18.64815,2.3111163932210275,0.6252990092125021,0.5714405345617818,0.03797279344390368,67,0.59,8.81,5.7,114.9,4.670597014925373,58.08955223880597,6.588863636363636,0.6677777777777778,83.0340909090909,6.611111111111111,1.967,3.3674999999999997,4.637,5.768,6.706,6.706,0.5185185185185185,0.8493181818181819,0.16977272727272727,0.1998929622691999,11.255555555555555,10.025,NA,NA,NA,8.46,29.207333333333334,8.447977745790569
011,2022-07-06,0.003,14.386,133,7.26,7.256259029623025,7.281473648647397,22.91765573770492,10.947857142857142,22.769451612903225,10.97943661971831,2.0509818109683238,35.60860393043123,0.28463691162586735,0.3495614674275591,133,0.12,8.73,1,116.5,2.3534586466165415,29.527067669172933,4.86,0.21814285714285714,61.885245901639344,1.9985714285714287,2.267,7.2375,5.774,6.678,2.643,4.944,0.08310249307479224,1.2918032786885245,0.17327868852459016,0.13413705583756347,-57.607142857142854,-72.85,38.35868857142857,-91.5385254887218,233.26315789473685,8.153333333333334,31.220666666666666,8.149965439277178
011,2022-07-29,0.085,14.445,124,5.558999999999999,5.759574832795533,6.9112121619774305,26.860035087719297,11.105758620689656,27.115054545454544,12.187855072463767,3.040718452904912,0.7757755332530389,0.3899197485621612,0.05852910761496684,124,0.2,8.52,1.7,108.9,3.543225806451613,43.83870967741935,7.010175438596491,0.4456896551724138,88.57192982456141,4.137931034482759,0.085,4.109,5.901,7.219,1.503,5.134,2.450261780104712,1.1556140350877193,0.8921052631578947,0.7719751024745711,-88.55689655172414,-121.46000000000001,38.35888693548387,-91.53929588709677,232.44032258064516,8.488333333333333,28.145666666666667,8.141759191446509
011,2022-08-18,0.208,14.916,178,5.873,8.387813483565516,8.702352239574804,23.18156701030928,10.215389610389611,26.331242424242426,12.022196428571428,2.183632591023752,0.1896314050176024,0.28674397222648323,0.04761274599638323,178,0.08,7.87,0.7,98.3,2.7792696629213482,34.04943820224719,4.954123711340206,0.16493506493506493,61.16391752577319,1.481818181818182,1.65,4.8875,5.986,6.442,1.163,5.539,0.8999999999999999,0.9545360824742268,0.5539175257731959,0.5803002484069554,-102.32857142857142,-112.18571428571428,38.35822882022472,-91.53861578651686,236.2674157303371,7.555,28.05325,8.032521669455432
