MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,notes
1,Glover,38.8476,-91.8876,
2,Pinnacle,38.8258,-91.4197,
3,Bowling Green (East),39.3416,-91.153,
4,Bowling Green (West),39.3423,-91.1611,
5,Lincoln,39.0203,-90.9217,
6,St. Louis,38.8011,-90.7653,
7,Kraut Run,38.7353,-90.7619,
9,Creve Coeur,38.7214,-90.4833,
10,Northwoods,38.4311,-91.4814,
11,Peaceful Valley,38.3587,-91.539,
12,Ben Branch,38.5676,-91.7911,
13,Binder,38.6019,-92.3008,
14,Tishomingo,38.3172,-90.6028,
15,Wauwanoka,38.2267,-90.53,
16,Timberline,37.9925,-90.5419,
17,Carmel,37.9264,-90.6389,
18,Capri,37.8978,-90.6275,
19,Marseilles,37.895,-90.6214,
20,Monsanto,37.8118,-90.5006,
21,Goose Creek,37.9811,-90.3223,
22,Ann,37.9527,-90.2064,
23,Wanda Lee,37.9376,-90.235,
24,Fredricktown City,37.5772,-90.3092,
25,Perry County,37.7242,-89.9142,
26,Bella Vista,37.4728,-89.5783,
27,Boutin,37.4522,-89.4878,
28,Girardeau,37.2792,-89.8433,
29,Tywappity,37.1869,-89.6383,
30,Wappapello,36.9311,-90.2806,
31,Beaver,36.8007,-90.6234,
32,Ripley,36.6585,-90.955,
33,Fourche Creek,36.636,-91.0514,
34,McCormack ,36.8197,-91.3506,
35,Miller Community,37.0467,-90.9031,
36,Clearwater,37.1339,-90.7722,
37,Lower Taum Sauk,37.495,-90.8375,
38,Killarney,37.5906,-90.5644,
39,Council Bluff,37.7325,-90.9145,
40,Sunnen,37.9528,-90.9311,
41,Rocky Fork,39.0717,-92.3131,
42,Tri-City Community,39.1897,-92.2089,
43,D.C. Rogers,39.1544,-92.7083,
44,Peters,39.165,-92.7303,
45,Nehai Tonkayea,39.5906,-92.8917,
46,Thomas Hill ,39.5511,-92.6444,
47,Sugar Creek,39.4736,-92.4792,
48,Long Branch,39.7514,-92.515,
49,Macon,39.7478,-92.4942,
50,Spring,40.1006,-92.6786,
51,Mahoney,40.5003,-93.0242,
52,Thunderhead,40.5306,-93.0197,
53,Memphis City,40.4472,-92.2003,
54,Ella Ewing,40.3411,-92.0066,
55,Baring Country Club,40.2328,-92.1994,
56,Edina City,40.1908,-92.1778,
57,Deer Ridge,40.1803,-91.8269,
58,Wakonda,40.0076,-91.5091,
59,Shelbina,39.7261,-92.0436,
60,Monroe City,39.6208,-91.7339,
61,Vandalia Community,39.2375,-91.5389,
62,Tebo,38.6072,-93.2886,
63,Spring Fork,38.5683,-93.2414,
64,Odessa (Lower),38.9711,-93.9894,
65,Tapawingo,39.0242,-94.3156,
66,Prairie Lee,38.9437,-94.3301,
67,Lotawana,38.9353,-94.2464,
68,Longview,38.9247,-94.4661,
69,Harrisonville,38.7644,-94.3258,
70,North,38.6861,-94.3583,
71,Waukomis,39.2286,-94.6325,
72,Smithville ,39.3975,-94.5495,
73,Rocky Hollow,39.3556,-94.2758,
74,Watkins Mill,39.3933,-94.2631,
75,Sugar,39.5457,-95.0493,
76,Contrary (Oxbow),39.7203,-94.9071,
77,Allaman,39.6567,-94.2147,
78,Hamilton City,39.7431,-94.0347,
79,Breckenridge City,39.78,-93.8072,
80,Viking,39.9378,-94.0569,
81,Pony Express,39.8044,-94.38,
82,Maysville,39.8781,-94.3785,
83,Bethany (North),40.3136,-94.0309,new
84,Paho,40.4004,-93.6548,
85,Marie,40.4867,-93.5525,
86,New Milan,40.1983,-93.1042,sometimes MU#142
87,Brookfield,39.7961,-93.0283,
88,Marceline (South),39.6617,-92.9956,
89,Truman ,38.2639,-93.4083,
90,Montrose,38.3086,-93.9169,
91,Atkinson,38.0064,-94.0461,
92,Pomme De Terre,37.9017,-93.32,
93,Stockton,37.6917,-93.7667,
94,Lamar City,37.48,-94.2617,
95,McDaniel,37.2939,-93.3142,
96,Fellows,37.3153,-93.23,
97,Springfield,37.112,-93.2637,
98,Table Rock,36.595,-93.3108,
99,Taneycomo,36.6589,-93.1239,
100,Bull Shoals,36.5308,-92.6047,
101,Norfork,36.5857,-92.2883,
102,Noblett,36.9072,-92.0972,
104,Sims Valley,37.0061,-91.8483,
105,Austin,37.1619,-92.1853,
106,Roby,37.5186,-92.123,
107,Ziske,37.6478,-91.5072,
108,Turner,37.6472,-91.5139,
109,Loggers,37.3871,-91.2624,
110,Little Prairie,37.9969,-91.6917,
111,Indian Hills,38.1075,-91.4575,
112,Shayne,37.8976,-90.6413,
113,Pape (Concordia),38.9331,-93.5814,
114,Henry Sever,40.0058,-91.975,
115,Hunnewell,39.7072,-91.8619,
116,Jacomo,38.9931,-94.3078,
117,Little Dixie,38.9056,-92.1222,
118,Raintree,38.835,-94.3817,
119,Sterling Price,39.4,-92.8433,
120,Winnebago,38.8181,-94.3561,
121,Higginsville,39.0617,-93.67,
122,Lewistown,40.0978,-91.8189,
123,Shelbyville,39.8064,-92.0511,
124,Wyconda,40.3991,-91.9075,sometimes MU#259
127,Clarence (East),39.7488,-92.2284,
128,Clarence (West),39.7486,-92.2362,
129,LaBelle City (East),40.0911,-91.8997,
130,LaPlata (East),40.0117,-92.43,
131,Hazel Creek,40.3,-92.6278,
132,Lancaster City (South),40.5158,-92.5481,
133,Forest,40.1714,-92.6548,
134,Jamesport City,39.9906,-93.8111,
135,Trenton (Upper East),40.0795,-93.5775,
137,Green City,40.2644,-92.9201,
139,Marceline (North),39.7225,-92.9195,
140,Cameron (Century),39.7624,-94.2615,
141,Showme,40.4397,-92.2177,
143,Bethany (South),40.2864,-94.0244,old
144,Pinewoods ,36.918,-90.7722,
145,Mark Twain,39.5223,-91.6467,
146,Crane ,37.4236,-90.6272,
148,Blue Springs,39.0141,-94.3371,
149,Lake of the Ozarks,38.2039,-92.6236,
150,Blind Pony,39.0317,-93.3681,
152,Lafayette,37.8925,-90.5942,
155,Weatherby,39.2283,-94.7031,
157,Holden City,38.7611,-94.0344,
158,Amarugia Highlands W.A.,38.5394,-94.4347,
159,Harmony Mission C.A.,38.0735,-94.4288,
160,Four Rivers,38.015,-94.3367,
161,Bushwacker,37.6717,-94.4056,
162,Maple Leaf,38.9889,-93.7806,
163,King,40.02,-94.4372,
164,Elmwood,40.2244,-93.1156,
165,Jackrabbit,38.8886,-94.3228,
166,Catclaw,38.8892,-94.3167,
167,Cottontail,38.8831,-94.3161,
168,Nell,38.8797,-94.3228,
169,Gopher,38.8733,-94.3147,
170,Coot,38.8694,-94.3398,
178,Daniel Boone,39.7896,-92.2631,
179,Nodaway County,40.4264,-94.8578,
180,Bilby Ranch,40.3481,-95.1333,
181,Mozingo,40.3495,-94.7776,
182,Fox Valley,40.4977,-91.7668,
183,Hazel Hill,38.8458,-93.7779,
184,Manito,38.5911,-92.8072,
185,Harrison County,40.3988,-94.0871,
186,Carl DiSalvo,37.7297,-90.6347,
187,Belcher Branch,39.5839,-94.7331,
188,Big Oak,36.6403,-89.2919,
189,Butler City,38.2756,-94.4286,
190,Charity,40.4756,-95.5842,
