attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
MULakeNumber	Missouri University identifier for that lake or reservoir	character			NA	MissingValue
date	Date of sampling	Date		YYYY-MM-DD	NA	MissingValue
dateTime	Date and time of sampling. All data were collected in the central time zone of the U.S.A., with daylight savings time observed	Date		YYYY-MM-DD hh:mm:ss	NA	MissingValue
depth_m	Water depth where sensor reading was measured	numeric	meter		NA	MissingValue
temp_degC	Water temperature	numeric	celsius		NA	MissingValue
doConcentration_mgpL	Dissolved oxygen concentration	numeric	milligramsPerLiter		NA	MissingValue
doSaturation_percent	Dissolved oxygen saturation	numeric	percent		NA	MissingValue
chlorophyll_RFU	Total Chlorophyll a measured in RFU	numeric	RelativeFluorescenceUnits		NA	MissingValue
phycocyaninBGA_RFU	Blue-Green Algae phycocyanin measured in RFU	numeric	RelativeFluorescenceUnits		NA	MissingValue
turbidity_FNU	Turbidity measured in FNU	numeric	FormazinNephelometricUnits		NA	MissingValue
salinity_psu	Salinity measured in PSU	numeric	PracticalSalinityUnit		NA	MissingValue
specificConductivity_uSpcm	Specific conductivity	numeric	microSiemensPerCentimeter		NA	MissingValue
tds_mgpL	Total dissolved solids	numeric	milligramsPerLiter		NA	MissingValue
orp_mV	Oxidation Reduction Potential	numeric	millivolt		NA	MissingValue
pH	pH - potential of hydrogen	numeric	dimensionless		NA	MissingValue
latitude	Latitude measured on the sonde handheld during sampling	numeric	degree		NA	MissingValue
longitude	Longitude measured on the sonde handheld during sampling	numeric	degree		NA	MissingValue
altitude_m	Altitude measured on the sonde handheld during sampling	numeric	meter		NA	MissingValue
barometerAirHandheld_mbars	Air barometer pressure measured on the sonde handheld during sampling	numeric	millibar		NA	MissingValue
