attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
author	Author or authors of publication from which data was mined	character			NA	MissingValue
year	Year that datamined publication was published in	character			NA	MissingValue
title	Title of publication	character			NA	MissingValue
journal	Journal that datamined publication was published in	character			NA	MissingValue
citation	Full citation of the paper used for that particular pond data	character			NA	MissingValue
author_term	Term used by authors to identify waterbodies in publication	character			NA	MissingValue
location	Geographic location of study	character			NA	MissingValue
pondname	Name of pond	character			NA	MissingValue
humanbuilt_manipulated	Identifies whether pond is artificial or has been manipulated; i.e: dredging or damming	character			NA	MissingValue
ponduse	Category describing what pond is utilized for	character			NA	MissingValue
landuse	Category describing land use within pond watershed	character			NA	MissingValue
managed	Identifies whether pond is managed or maintained	character			NA	MissingValue
surfacewaterconnectivity	"Category describing the surface water connectivity between ponds and other nearby waterbodies, if any"	character			NA	MissingValue
hydroperiod	"Category describing the hydroperiod, or permanence/temporarity of each pond"	character			NA	MissingValue
min_depth_m	Minimum depth of pond	numeric	meter		NA	MissingValue
max_depth_m	Maximum depth of pond	numeric	meter		NA	MissingValue
mean_depth_m	Mean depth of pond	numeric	meter		NA	MissingValue
min_surfacearea_m2	Minimum surface area of pond	numeric	meterSquared		NA	MissingValue
max_surfacearea_m2	Maximum surface area of pond	numeric	meterSquared		NA	MissingValue
mean_surfacearea_m2	Mean surface area of pond	numeric	meterSquared		NA	MissingValue
fishpresence	Indicates presence or absence of fish	character			NA	MissingValue
macrophytespresence	Indicates presence or absence of macrophytes	character			NA	MissingValue
macrophytes_percentcover	Percent coverage of macrophytes in pond	numeric	percent		NA	MissingValue
ph	pH of pond	numeric	dimensionless		NA	MissingValue
turbidity_secchi_m	Secchi disk depth as proxy for turbidity of pond	numeric	meter		NA	MissingValue
tss_mgpl	Total suspended solids of pond	numeric	milligramPerLiter		NA	MissingValue
doc_mgpl	Dissolved organic carbon of pond	numeric	milligramPerLiter		NA	MissingValue
chla_ugpl	Chlorophyll a concentration of pond	numeric	microgramPerLiter		NA	MissingValue
tp_ugpl	Total phosphorus of pond	numeric	microgramPerLiter		NA	MissingValue
tn_ugpl	Total nitrogen of pond	numeric	microgramPerLiter		NA	MissingValue
cond_uspcm	Conductivity of pond	numeric	microsiemensPerCentimeter		NA	MissingValue
