Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
003_2018_05_29_P.csv,003,2018,05,29,P,Yes,2023-06-25,2018-05-29,15.899,NA,NA,NA,981.8044742729306,0.16,0.16,333,333,298,003_2018_05_29_P_Level1.csv
003_2018_06_18_P.csv,003,2018,06,18,P,Yes,2023-06-25,2018-06-18,14.734,NA,NA,NA,988.2069651741294,0.19,0.19,249,249,201,003_2018_06_18_P_Level1.csv
003_2018_07_16_P.csv,003,2018,07,16,P,Yes,2023-06-25,2018-07-16,14.718,NA,NA,NA,987.0534534534534,0.02,0.02,260,260,222,003_2018_07_16_P_Level1.csv
003_2018_08_06_P.csv,003,2018,08,06,P,Yes,2023-06-25,2018-08-06,15.74825,NA,NA,NA,988.5628274616079,0.17,0.17,3350,280,246,003_2018_08_06_P_Level1.csv
005_2018_05_29_P.csv,005,2018,05,29,P,Yes,2023-06-25,2018-05-29,13.491,NA,NA,NA,990.6935185185185,0.21,0.21166666666666667,155,155,144,005_2018_05_29_P_Level1.csv
005_2018_06_18_P.csv,005,2018,06,18,P,Yes,2023-06-25,2018-06-18,12.945,NA,NA,NA,997.0686274509803,0.14,0.14666666666666667,229,229,204,005_2018_06_18_P_Level1.csv
005_2018_07_16_P.csv,005,2018,07,16,P,Yes,2023-06-25,2018-07-16,12.942,NA,NA,NA,994.6983498349834,0.04,0.04,235,235,202,005_2018_07_16_P_Level1.csv
005_2018_08_06_P.csv,005,2018,08,06,P,Yes,2023-06-25,2018-08-06,13.456083333333334,NA,NA,NA,997.2605405405405,0.20166666666666666,0.20027777777777778,2334,195,185,005_2018_08_06_P_Level1.csv
013_2018_05_16.csv,013,2018,05,16,csv,Yes,2023-06-25,2018-05-16,6.612,NA,NA,NA,990.9203703703704,0.15,0.15,236,236,72,013_2018_05_16_Level1.csv
013_2018_06_11.csv,013,2018,06,11,csv,Yes,2023-06-25,2018-06-11,6.008,NA,NA,NA,986.2371308016878,0.07,0.07,179,179,158,013_2018_06_11_Level1.csv
013_2018_07_09.csv,013,2018,07,09,csv,Yes,2023-06-25,2018-07-09,6.01,NA,NA,NA,999.8117048346056,0.1,0.10500000000000001,144,144,131,013_2018_07_09_Level1.csv
013_2018_07_30.csv,013,2018,07,30,csv,Yes,2023-06-25,2018-07-30,5.955166666666667,NA,NA,NA,994.5046015712683,0.22,0.22236111111111112,1301,110,99,013_2018_07_30_Level1.csv
018_2018_06_04_P.csv,018,2018,06,04,P,Yes,2023-06-25,2018-06-04,13.313,NA,NA,NA,985.4759420289855,1.11,1.315,253,253,230,018_2018_06_04_P_Level1.csv
018_2018_06_25_P.csv,018,2018,06,25,P,Yes,2023-06-25,2018-06-25,13.83,NA,NA,NA,982.417601760176,3.42,3.535,358,358,303,018_2018_06_25_P_Level1.csv
018_2018_07_23.csv,018,2018,07,23,csv,Yes,2023-06-25,2018-07-23,10.108,NA,NA,NA,983.6663507109005,4.33,4.516666666666667,227,227,211,018_2018_07_23_Level1.csv
018_2018_08_13.csv,018,2018,08,13,csv,Yes,2023-06-25,2018-08-13,11.327333333333334,NA,NA,NA,986.2612535612536,1.6328571428571428,1.7350595238095239,2065,173,156,018_2018_08_13_Level1.csv
025_2018_06_06.csv,025,2018,06,06,csv,Yes,2023-06-25,2018-06-06,6.465,NA,NA,NA,994.3453416149068,0.1,0.1,196,196,161,025_2018_06_06_Level1.csv
025_2018_06_27.csv,025,2018,06,27,csv,Yes,2023-06-25,2018-06-27,6.894,NA,NA,NA,992.8899470899471,0.17,0.17333333333333334,218,218,126,025_2018_06_27_Level1.csv
025_2018_07_25.csv,025,2018,07,25,csv,Yes,2023-06-25,2018-07-25,8.873,NA,NA,NA,998.9798095238095,0.16,0.16166666666666668,191,191,175,025_2018_07_25_Level1.csv
025_2018_08_15.csv,025,2018,08,15,csv,Yes,2023-06-25,2018-08-15,6.082833333333333,NA,NA,NA,995.4801994301995,3.97,3.9831944444444445,1102,93,78,025_2018_08_15_Level1.csv
027_2018_06_06.csv,027,2018,06,06,csv,Yes,2023-06-25,2018-06-06,5.214,NA,NA,NA,994.2842975206612,0.21,0.21,160,160,121,027_2018_06_06_Level1.csv
027_2018_06_27.csv,027,2018,06,27,csv,Yes,2023-06-25,2018-06-27,6.085,NA,NA,NA,993.4335917312662,0.26,0.26,154,154,129,027_2018_06_27_Level1.csv
027_2018_07_25.csv,027,2018,07,25,csv,Yes,2023-06-25,2018-07-25,6.205,NA,NA,NA,998.0876957494407,0.39,0.4033333333333333,166,166,149,027_2018_07_25_Level1.csv
