Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,Level1FileName
003_2019_05_23.csv,003,2019,05,23,csv,Yes,2023-06-19,2019-05-23,17.103,NA,NA,NA,990.8844827586207,-0.07,-0.07,003_2019_05_23_Level1.csv
003_2019_06_12.csv,003,2019,06,12,csv,Yes,2023-06-19,2019-06-12,16.244,NA,NA,NA,984.0691983122363,0.11,0.11,003_2019_06_12_Level1.csv
003_2019_07_31.csv,003,2019,07,31,csv,Yes,2023-06-19,2019-07-31,15.321,NA,NA,NA,994.1124579124579,0.07,0.07333333333333333,003_2019_07_31_Level1.csv
003_2019_08_29.csv,003,2019,08,29,csv,Yes,2023-06-19,2019-08-29,13.959,39.34150703030303,-91.15323848484849,238.16727272727272,992.7741414141415,-0.18,-0.18,003_2019_08_29_Level1.csv
005_2019_07_31.csv,005,2019,07,31,csv,Yes,2023-06-19,2019-07-31,14.104,NA,NA,NA,1002.039408866995,0.21,0.21,005_2019_07_31_Level1.csv
005_2019_08_29.csv,005,2019,08,29,csv,Yes,2023-06-19,2019-08-29,13.898,39.02135171122995,-90.91984272727272,170.04331550802138,999.7953654188948,0.09,0.09,005_2019_08_29_Level1.csv
013_2019_07_25.csv,013,2019,07,25,csv,Yes,2023-06-19,2019-07-25,7.787,NA,NA,NA,1000.5156462585034,0.29,0.295,013_2019_07_25_Level1.csv
013_2019_08_15.csv,013,2019,08,15,csv,Yes,2023-06-19,2019-08-15,8.024,NA,NA,NA,996.8594202898552,0.23,0.23,013_2019_08_15_Level1.csv
013_2019_08_21.csv,013,2019,08,21,csv,Yes,2023-06-19,2019-08-21,6.904,38.60129960784314,-92.30232754901961,189.50980392156862,996.6392156862745,0.11,0.11,013_2019_08_21_Level1.csv
017_2019_05_30.csv,017,2019,05,30,csv,Yes,2023-06-19,2019-05-30,14.021,NA,NA,NA,981.1353741496598,0.09,0.09,017_2019_05_30_Level1.csv
017_2019_06_19.csv,017,2019,06,19,csv,Yes,2023-06-19,2019-06-19,14.154,NA,NA,NA,978.3988505747126,0.07,0.07,017_2019_06_19_Level1.csv
017_2019_07_18.csv,017,2019,07,18,csv,Yes,2023-06-19,2019-07-18,9.747,NA,NA,NA,984.9521126760563,0.7,0.745,017_2019_07_18_Level1.csv
017_2019_08_09.csv,017,2019,08,09,csv,Yes,2023-06-19,2019-08-09,12.706,NA,NA,NA,985.1029333333333,0.53,0.54,017_2019_08_09_Level1.csv
