MULakeNumber,Date,beginDepth,endDepth_char,endDepth_m,parameterType,unit,parameterValue,parameterValueQCCodeID,samplingSiteLatitude,samplingSiteLongitude,waterBody,samplingSite,sampleQAQCType,dateTime
440,2023-05-12,0,SURF,0.00,ANA_tox,ug/L,      0.274,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,ANA_tox,ug/L,      0.274,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,CHL_A_COR,ug/L,         4.90,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,CHL_A_COR,ug/L,         3.96,9,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,CHL_A_lab,ug/L,         9.89,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,CHL_A_lab,ug/L,         9.44,9,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,CYL_tox,ug/L,      0.000,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,CYL_tox,ug/L,      0.000,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.50,DO,mg/L,      7.30,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,MIC_tox,ug/L,      0.000,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,MIC_tox,ug/L,      0.000,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,NH4,ug/L,        10,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,NH4,ug/L,         9,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,NO3,ug/L,         0,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,NO3,ug/L,         0,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,PHEO,ug PHEO/L,        10.73,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,PHEO,ug PHEO/L,        11.78,9,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,PIM,mg/L,      2.6,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,POM,mg/L,      2.2,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,SAX_tox,ug/L,      0.011,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,SURF,0.00,SAX_tox,ug/L,      0.000,2,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,ACTUAL,0.00,SECCHI,m,      0.89,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,ACTUAL,0.00,SECCHI,m,      0.78,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,TDN,ug/L,       740.0,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
440,2023-05-12,0,EPI,0.00,TDN,ug/L,       720.0,NA,38.89366519171705,-91.73737992299542,Crow Pond,Crow Pond 1,Sample,2023-05-12T12:43:00Z
