Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName,nrow_Level2,Level2_maxDepth_m,Level1to2_done,Level1to2_done_date,flag_monotonicDensity,flag_decreasingTemp,flag_lowTemps,flag_lowpH,flag_jumps_chlorophyll_RFU,flag_jumps_depth_m,flag_jumps_doSaturation_percent,flag_jumps_doConcentration_mgpL,flag_jumps_orp_mV,flag_jumps_waterPressure_barA,flag_jumps_salinity_psu,flag_jumps_specificConductivity_uSpcm,flag_jumps_phycocyaninBGA_RFU,flag_jumps_tds_mgpL,flag_jumps_turbidity_FNU,flag_jumps_pH,flag_jumps_temp_degC,flag_jumps_verticalPosition_m,flag_jumps_latitude,flag_jumps_longitude,flag_jumps_altitude_m,flag_jumps_barometerAirHandheld_mbars,Level1to2_some_depths_removed,Level1to2_profileRemoved
001_1989_06_20,001,1989,06,20,NA,Yes,2023-07-21,1989-06-20,6,NA,NA,NA,NA,NA,NA,8,NA,8,001_1989_06_20_Level1.csv,8,6,Yes,2023-07-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1989_07_24,001,1989,07,24,NA,Yes,2023-07-21,1989-07-24,6,NA,NA,NA,NA,NA,NA,7,NA,7,001_1989_07_24_Level1.csv,7,6,Yes,2023-07-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1990_05_17,001,1990,05,17,NA,Yes,2023-07-21,1990-05-17,9,NA,NA,NA,NA,NA,NA,11,NA,11,001_1990_05_17_Level1.csv,11,9,Yes,2023-07-25,NA,NA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA
001_1990_06_19,001,1990,06,19,NA,Yes,2023-07-21,1990-06-19,6,NA,NA,NA,NA,NA,NA,8,NA,8,001_1990_06_19_Level1.csv,8,6,Yes,2023-07-25,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1990_07_23,001,1990,07,23,NA,Yes,2023-07-21,1990-07-23,6,NA,NA,NA,NA,NA,NA,8,NA,8,001_1990_07_23_Level1.csv,8,6,Yes,2023-07-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1991_05_23,001,1991,05,23,NA,Yes,2023-07-21,1991-05-23,7,NA,NA,NA,NA,NA,NA,9,NA,9,001_1991_05_23_Level1.csv,9,7,Yes,2023-07-25,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1991_06_25,001,1991,06,25,NA,Yes,2023-07-21,1991-06-25,5,NA,NA,NA,NA,NA,NA,7,NA,7,001_1991_06_25_Level1.csv,7,5,Yes,2023-07-25,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1991_07_23,001,1991,07,23,NA,Yes,2023-07-21,1991-07-23,5,NA,NA,NA,NA,NA,NA,6,NA,6,001_1991_07_23_Level1.csv,6,5,Yes,2023-07-25,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1992_06_02,001,1992,06,02,NA,Yes,2023-07-21,1992-06-02,7,NA,NA,NA,NA,NA,NA,8,NA,8,001_1992_06_02_Level1.csv,8,7,Yes,2023-07-25,NA,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
001_1992_06_30,001,1992,06,30,NA,Yes,2023-07-21,1992-06-30,4,NA,NA,NA,NA,NA,NA,6,NA,6,001_1992_06_30_Level1.csv,6,4,Yes,2023-07-25,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
