MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,site_latitude,site_longitude
001,Glover,38.8476,-91.8876,NA,NA
002,Pinnacle,38.8258,-91.4197,NA,NA
003,Bowling Green (East),39.3416,-91.153,39.34149333282925,-91.1530222564769
004,Bowling Green (West),39.3423,-91.1611,NA,NA
005,Lincoln,39.0203,-90.9217,39.0211393663103,-90.92002121569502
006,St. Louis,38.8011,-90.7653,NA,NA
007,Kraut Run,38.7353,-90.7619,NA,NA
009,Creve Coeur,38.7214,-90.4833,NA,NA
010,Northwoods,38.4311,-91.4814,NA,NA
011,Peaceful Valley,38.3587,-91.539,38.358557212553194,-91.52756183626255
012,Ben Branch,38.5676,-91.7911,38.5679854508257,-91.79074674608307
013,Binder,38.6019,-92.3008,38.60129281481481,-92.30233803703705
014,Tishomingo,38.3172,-90.6028,38.31519951703886,-90.598564804082
015,Wauwanoka,38.2267,-90.53,NA,NA
016,Timberline,37.9925,-90.5419,NA,NA
017,Carmel,37.9264,-90.6389,NA,NA
018,Capri,37.8978,-90.6275,37.89854191839735,-90.6294678375011
019,Marseilles,37.895,-90.6214,37.89568602111851,-90.6217962336892
020,Monsanto,37.8118,-90.5006,NA,NA
021,Goose Creek,37.9811,-90.3223,37.98186088247506,-90.32275930570579
022,Ann,37.9527,-90.2064,NA,NA
023,Wanda Lee,37.9376,-90.235,NA,NA
024,Fredricktown City,37.5772,-90.3092,NA,NA
025,Perry County,37.7242,-89.9142,NA,NA
026,Bella Vista,37.4728,-89.5783,NA,NA
027,Boutin,37.4522,-89.4878,NA,NA
028,Girardeau,37.2792,-89.8433,NA,NA
029,Tywappity,37.1869,-89.6383,NA,NA
030,Wappapello,36.9311,-90.2806,36.93059461179911,-90.28486798700355
031,Beaver,36.8007,-90.6234,NA,NA
032,Ripley,36.6585,-90.955,36.65865248370248,-90.95477765984931
033,Fourche Creek,36.636,-91.0514,36.636470618205536,-91.05273980630596
034,McCormack,36.8197,-91.3506,NA,NA
035,Miller Community,37.0467,-90.9031,NA,NA
036,Clearwater,37.1339,-90.7722,37.13885440188656,-90.77463495970815
037,Lower Taum Sauk,37.495,-90.8375,37.49799680365297,-90.83453636986302
038,Killarney,37.5906,-90.5644,37.591445403225805,-90.5648816935484
039,Council Bluff,37.7325,-90.9145,37.72901536714822,-90.91333111712017
040,Sunnen,37.9528,-90.9311,NA,NA
041,Rocky Fork,39.0717,-92.3131,NA,NA
042,Tri-City Community,39.1897,-92.2089,39.190299159070726,-92.20880500643462
043,D.C. Rogers,39.1544,-92.7083,39.157433211371725,-92.71336182391605
044,Peters,39.165,-92.7303,39.165475708721246,-92.73082432048653
045,Nehai Tonkayea,39.5906,-92.8917,39.59108844534883,-92.89048951100492
046,Thomas Hill,39.5511,-92.6444,39.569585367168735,-92.64075434346489
047,Sugar Creek,39.4736,-92.4792,NA,NA
048,Long Branch,39.7514,-92.515,39.75833849958752,-92.51569063844846
049,Macon,39.7478,-92.4942,39.748874663621265,-92.49423835274231
050,Spring,40.1006,-92.6786,NA,NA
051,Mahoney,40.5003,-93.0242,40.500109084364816,-93.024682841825
052,Thunderhead,40.5306,-93.0197,NA,NA
053,Memphis City,40.4472,-92.2003,NA,NA
054,Ella Ewing,40.3411,-92.0066,NA,NA
055,Baring Country Club,40.2328,-92.1994,NA,NA
056,Edina City,40.1908,-92.1778,NA,NA
057,Deer Ridge,40.1803,-91.8269,40.18056188886367,-91.8281598564995
058,Wakonda,40.0076,-91.5091,NA,NA
059,Shelbina,39.7261,-92.0436,NA,NA
060,Monroe City,39.6208,-91.7339,NA,NA
061,Vandalia Community,39.2375,-91.5389,NA,NA
062,Tebo,38.6072,-93.2886,NA,NA
063,Spring Fork,38.5683,-93.2414,NA,NA
064,Odessa (Lower),38.9711,-93.9894,NA,NA
065,Tapawingo,39.0242,-94.3156,NA,NA
066,Prairie Lee,38.9437,-94.3301,NA,NA
067,Lotawana,38.9353,-94.2464,NA,NA
068,Longview,38.9247,-94.4661,NA,NA
069,Harrisonville,38.7644,-94.3258,NA,NA
070,North,38.6861,-94.3583,38.65941341617053,-94.32993573370207
071,Waukomis,39.2286,-94.6325,NA,NA
072,Smithville,39.3975,-94.5495,39.39962174221953,-94.55061251798394
073,Rocky Hollow,39.3556,-94.2758,NA,NA
074,Watkins Mill,39.3933,-94.2631,39.39413520968361,-94.26218256656564
075,Sugar,39.5457,-95.0493,NA,NA
076,Contrary (Oxbow),39.7203,-94.9071,NA,NA
077,Allaman,39.6567,-94.2147,NA,NA
078,Hamilton City,39.7431,-94.0347,NA,NA
079,Breckenridge City,39.78,-93.8072,NA,NA
080,Viking,39.9378,-94.0569,NA,NA
081,Pony Express,39.8044,-94.38,NA,NA
082,Maysville,39.8781,-94.3785,NA,NA
083,Bethany (North),40.3136,-94.0309,NA,NA
084,Paho,40.4004,-93.6548,NA,NA
085,Marie,40.4867,-93.5525,40.48721256735268,-93.55312641742833
086,New Milan,40.1983,-93.1042,NA,NA
087,Brookfield,39.7961,-93.0283,39.79612510057057,-93.02742500912746
088,Marceline (South),39.6617,-92.9956,NA,NA
089,Truman,38.2639,-93.4083,38.33865672600299,-93.25580163559789
090,Montrose,38.3086,-93.9169,38.304220334109395,-93.94339301380182
091,Atkinson,38.0064,-94.0461,38.00644070923466,-94.04796867901558
092,Pomme De Terre,37.9017,-93.32,37.900552737458106,-93.31731790698221
093,Stockton,37.6917,-93.7667,37.68526248887413,-93.76182112454532
094,Lamar City,37.48,-94.2617,37.480289809290184,-94.26070566326317
095,McDaniel,37.2939,-93.3142,NA,NA
096,Fellows,37.3153,-93.23,37.31362182713152,-93.20147950216207
097,Springfield,37.112,-93.2637,NA,NA
098,Table Rock,36.595,-93.3108,36.59484697228573,-93.29624131835509
099,Taneycomo,36.6589,-93.1239,NA,NA
100,Bull Shoals,36.5308,-92.6047,NA,NA
101,Norfork,36.5857,-92.2883,NA,NA
102,Noblett,36.9072,-92.0972,NA,NA
104,Sims Valley,37.006100000000004,-91.8483,NA,NA
105,Austin,37.1619,-92.1853,NA,NA
106,Roby,37.5186,-92.123,NA,NA
107,Ziske,37.6478,-91.5072,NA,NA
108,Turner,37.6472,-91.5139,NA,NA
109,Loggers,37.3871,-91.2624,NA,NA
110,Little Prairie,37.9969,-91.6917,37.995773208145565,-91.69103641728692
111,Indian Hills,38.1075,-91.4575,38.10279202421124,-91.4558346469133
112,Shayne,37.8976,-90.6413,37.89807693514243,-90.64295028144188
113,Pape (Concordia),38.9331,-93.5814,NA,NA
114,Henry Sever,40.0058,-91.975,40.0063929308709,-91.97578956476973
115,Hunnewell,39.7072,-91.8619,39.70844320688558,-91.86214779456353
