MULakeNumber,waterBody,waterBodyLatitude_degree,waterBodyLongitude_degree,notes,elevation_m_extract
001,Glover,38.8476,-91.8876,NA,193.85
002,Pinnacle,38.8258,-91.4197,NA,188.85
003,Bowling Green (East),39.3416,-91.153,NA,241.3
004,Bowling Green (West),39.3423,-91.1611,NA,234.3
005,Lincoln,39.0203,-90.9217,NA,172.75
006,St. Louis,38.8011,-90.7653,NA,152.33
007,Kraut Run,38.7353,-90.7619,NA,152.36
009,Creve Coeur,38.7214,-90.4833,NA,134.73
010,Northwoods,38.4311,-91.4814,NA,241.9
011,Peaceful Valley,38.3587,-91.539,NA,235.46
012,Ben Branch,38.5676,-91.7911,NA,235.25
013,Binder,38.6019,-92.3008,NA,197.52
014,Tishomingo,38.3172,-90.6028,NA,165.39
015,Wauwanoka,38.2267,-90.53,NA,175.46
016,Timberline,37.9925,-90.5419,NA,242.15
017,Carmel,37.9264,-90.6389,NA,268
018,Capri,37.8978,-90.6275,NA,253.36
019,Marseilles,37.895,-90.6214,NA,254.83
020,Monsanto,37.8118,-90.5006,NA,277.37
021,Goose Creek,37.9811,-90.3223,NA,192.97
022,Ann,37.9527,-90.2064,NA,152.65
023,Wanda Lee,37.9376,-90.235,NA,155.35
024,Fredricktown City,37.5772,-90.3092,NA,215.36
025,Perry County,37.7242,-89.9142,NA,157.9
026,Bella Vista,37.4728,-89.5783,NA,139.67
027,Boutin,37.4522,-89.4878,NA,164.3
028,Girardeau,37.2792,-89.8433,NA,112.33
029,Tywappity,37.1869,-89.6383,NA,122.02
030,Wappapello,36.9311,-90.2806,NA,127.75
031,Beaver,36.8007,-90.6234,NA,170.32
032,Ripley,36.6585,-90.955,NA,200.95
033,Fourche Creek,36.636,-91.0514,NA,175.54
034,McCormack,36.8197,-91.3506,NA,179.94
035,Miller Community,37.0467,-90.9031,NA,258.99
036,Clearwater,37.1339,-90.7722,NA,186.12
037,Lower Taum Sauk,37.495,-90.8375,NA,215.62
038,Killarney,37.5906,-90.5644,NA,245.98
039,Council Bluff,37.7325,-90.9145,NA,330.52
040,Sunnen,37.9528,-90.9311,NA,257.36
