merged_ProfileID,sampleID,Log,Level3
105-2017-06-01,58497,log,Level3
105-2017-06-01,58498,log,Level3
105-2017-07-12,58688,log,Level3
105-2017-06-01,60634,log,Level3
107-2017-05-17,58411,log,Level3
117-2017-06-29,58654,log,Level3
183-2017-08-23,58915,log,Level3
183-2017-08-23,61044,log,Level3
219-2017-06-09,58897,log,Level3
219-2017-06-30,58899,log,Level3
219-2017-07-21,58901,log,Level3
219-2017-08-11,58933,log,Level3
219-2017-06-09,63008,log,Level3
219-2017-06-16,63009,log,Level3
219-2017-06-30,63010,log,Level3
219-2017-07-21,63011,log,Level3
219-2017-08-11,63012,log,Level3
219-2017-09-11,63013,log,Level3
219-2017-10-17,63014,log,Level3
219-2017-10-30,63015,log,Level3
219-2017-11-16,63016,log,Level3
219-2017-12-14,63017,log,Level3
219-2018-09-12,58386,log,Level3
219-2018-02-15,63018,log,Level3
219-2018-03-08,63019,log,Level3
219-2018-03-20,63020,log,Level3
219-2018-04-05,63021,log,Level3
219-2018-04-19,63022,log,Level3
219-2018-05-04,63023,log,Level3
219-2018-05-17,63024,log,Level3
219-2018-06-14,63026,log,Level3
219-2018-07-12,63028,log,Level3
219-2018-07-27,63029,log,Level3
219-2018-08-10,63030,log,Level3
219-2018-09-07,63031,log,Level3
219-2018-09-21,63032,log,Level3
219-2018-10-05,63033,log,Level3
219-2018-10-19,63034,log,Level3
219-2018-11-02,63035,log,Level3
219-2018-11-19,63036,log,Level3
219-2018-11-30,63037,log,Level3
219-2018-12-17,63038,log,Level3
094-2018-08-14,60415,log,Level3
094-2018-08-14,60414,log,Level3
094-2018-08-14,60416,log,Level3
094-2018-08-14,60417,log,Level3
094-2018-08-14,60419,log,Level3
094-2018-08-14,60418,log,Level3
005-2019-06-29,58949,log,Level3
005-2019-09-19,58956,log,Level3
005-2019-09-19,58957,log,Level3
013-2019-06-26,58960,log,Level3
018-2019-07-02,58985,log,Level3
039-2019-07-02,59031,log,Level3
042-2019-06-29,59035,log,Level3
048-2019-09-10,59048,log,Level3
048-2019-09-18,59050,log,Level3
057-2019-09-18,59058,log,Level3
070-2019-06-24,59073,log,Level3
072-2019-07-17,59083,log,NA
074-2019-09-11,59093,log,Level3
087-2019-09-10,59101,log,Level3
087-2019-09-18,59103,log,Level3
092-2019-09-12,59111,log,Level3
093-2019-06-25,59115,log,Level3
094-2019-04-23,60309,log,Level3
094-2019-05-15,60316,log,Level3
094-2019-06-25,60319,log,Level3
094-2019-08-15,60322,log,Level3
096-2019-06-26,59125,log,Level3
098-2019-06-25,59133,log,Level3
107-2019-07-01,59142,log,Level3
108-2019-07-01,59151,log,Level3
110-2019-07-01,59160,log,Level3
114-2019-09-18,59185,log,Level3
115-2019-09-19,59195,log,Level3
117-2019-09-24,59206,log,Level3
118-2019-06-24,59210,log,Level3
118-2019-09-11,59214,log,Level3
121-2019-06-24,59218,log,Level3
121-2019-09-12,59222,log,Level3
133-2019-05-22,59224,log,NA
133-2019-09-18,59230,log,Level3
150-2019-06-24,59263,log,Level3
162-2019-06-24,59269,log,Level3
162-2019-09-11,59275,log,Level3
179-2019-09-10,59283,log,Level3
180-2019-05-30,59285,log,Level3
181-2019-09-10,59299,log,Level3
182-2019-09-19,59307,log,Level3
183-2019-06-24,59311,log,Level3
183-2019-09-12,59315,log,Level3
184-2019-06-27,59318,log,Level3
185-2019-05-30,59327,log,Level3
185-2019-05-30,59328,log,Level3
185-2019-07-09,59332,log,NA
185-2019-09-10,59334,log,Level3
186-2019-07-02,59336,log,Level3
186-2019-09-24,59342,log,Level3
219-2019-07-12,59357,log,Level3
219-2019-07-12,59358,log,Level3
219-2019-07-12,59359,log,Level3
219-2019-01-17,63039,log,Level3
219-2019-02-08,63040,log,Level3
219-2019-02-21,63041,log,Level3
219-2019-03-13,63042,log,Level3
219-2019-03-25,63043,log,Level3
219-2019-04-08,63044,log,Level3
219-2019-04-25,63045,log,Level3
219-2019-05-06,63046,log,Level3
219-2019-05-17,63047,log,Level3
219-2019-06-28,63050,log,Level3
219-2019-07-12,63051,log,Level3
219-2019-07-25,63052,log,Level3
219-2019-08-30,63054,log,Level3
219-2019-09-13,63055,log,Level3
219-2019-09-27,63056,log,Level3
219-2019-10-10,63057,log,Level3
219-2019-10-25,63058,log,Level3
219-2019-11-15,63059,log,Level3
219-2019-11-26,63060,log,Level3
219-2019-12-06,63061,log,Level3
219-2019-12-20,63062,log,Level3
223-2019-09-18,59369,log,Level3
223-2019-09-18,59370,log,Level3
232-2019-06-29,59372,log,Level3
241-2019-06-27,59388,log,Level3
248-2019-06-27,59397,log,Level3
258-2019-06-26,59408,log,Level3
267-2019-06-26,59420,log,Level3
267-2019-06-26,59421,log,Level3
423-2019-09-24,59441,log,Level3
432-2019-06-25,59445,log,Level3
433-2019-06-25,59453,log,Level3
094-2019-04-23,60335,log,Level3
094-2019-04-23,60340,log,Level3
094-2019-04-23,60345,log,Level3
094-2019-04-23,60325,log,Level3
094-2020-06-25,61239,log,Level3
094-2020-07-28,61242,log,Level3
094-2020-08-25,61245,log,Level3
094-2020-10-06,61247,log,Level3
094-2020-11-05,61250,log,Level3
401-2020-07-23,61570,log,Level3
401-2020-07-31,61571,log,Level3
401-2020-08-07,61572,log,Level3
401-2020-08-21,61573,log,Level3
401-2020-09-10,61574,log,Level3
401-2020-09-17,61575,log,Level3
401-2020-09-19,61576,log,Level3
094-2020-06-25,61253,log,Level3
094-2020-07-27,61255,log,Level3
094-2020-08-25,61258,log,Level3
094-2020-10-06,61261,log,Level3
094-2020-11-04,61263,log,Level3
094-2020-06-26,61265,log,Level3
094-2020-07-27,61267,log,Level3
094-2020-08-24,61269,log,Level3
094-2020-10-05,61271,log,Level3
094-2020-11-04,61273,log,Level3
094-2020-06-26,61275,log,Level3
094-2020-07-27,61278,log,Level3
094-2020-08-24,61281,log,Level3
094-2020-10-05,61283,log,Level3
094-2020-11-04,61285,log,Level3
094-2020-06-26,61287,log,Level3
094-2020-07-27,61289,log,Level3
094-2020-08-24,61291,log,Level3
094-2020-10-05,61293,log,Level3
094-2020-11-04,61295,log,Level3
094-2020-06-26,61296,log,Level3
094-2020-07-28,61297,log,Level3
094-2020-08-24,61298,log,Level3
094-2020-10-05,61299,log,Level3
094-2020-11-04,61300,log,Level3
094-2020-06-25,61301,log,Level3
094-2020-10-06,61302,log,Level3
094-2020-11-04,61303,log,Level3
043-2021-08-31,63559,log,Level3
044-2021-08-31,63556,log,Level3
045-2021-08-26,63550,log,Level3
046-2021-08-26,63548,log,Level3
072-2021-09-08,63573,log,Level3
074-2021-09-08,63570,log,Level3
089-2021-09-13,63578,log,Level3
089-2021-09-23,63582,log,Level3
091-2021-07-07,63341,log,Level3
092-2021-08-05,63500,log,Level3
119-2021-08-26,63552,log,Level3
145-2021-08-24,63544,log,Level3
149-2021-09-13,63576,log,Level3
149-2021-09-23,63580,log,Level3
165-2021-09-07,63564,log,Level3
168-2021-09-07,63566,log,Level3
170-2021-06-14,63222,log,Level3
170-2021-07-06,63331,log,Level3
170-2021-08-03,63482,log,Level3
170-2021-09-07,63568,log,Level3
179-2021-09-29,63587,log,Level3
181-2021-09-29,63585,log,Level3
219-2021-08-31,63554,log,Level3
276-2021-09-02,63562,log,Level3
401-2021-07-28,63437,log,Level3
401-2021-07-29,63441,log,Level3
401-2021-08-19,63540,log,Level3
401-2021-08-24,63547,log,Level3
401-2021-09-02,63561,log,Level3
401-2021-09-13,63575,log,Level3
184-2022-06-27,64677,log,Level3
401-2022-07-18,64521,log,Level3
401-2022-07-18,64522,log,Level3
401-2022-07-25,64523,log,Level3
401-2022-07-25,64524,log,Level3
401-2022-08-02,64525,log,Level3
401-2022-08-02,64526,log,Level3
401-2022-08-08,64527,log,Level3
401-2022-08-08,64528,log,Level3
401-2022-08-15,64529,log,Level3
401-2022-08-15,64530,log,Level3
184-2021-08-05,63502,NA,Level3
032-2022-06-23,64816,NA,Level3
165-2022-06-28,64619,NA,Level3
165-2022-06-28,64620,NA,Level3
168-2022-07-26,64748,NA,Level3
