merged_ProfileID,Level0_profiles,Log,Level3
107-2017-05-16,107_2017_05_16 cleaned.csv,log,Level3
267-2017-06-14,267_2017_06_14 cleaned.csv,log,Level3
087-2018-05-14,087_2018_05_14.csv,log,Level3
094-04-00-2018-06-06,094-04-00_2018_06_06.csv,log,Level3
094-04-00-2018-07-31,094-04-00_2018_07_31.csv,log,Level3
094-04-00-2018-08-14,094-04-00_2018_08_14.csv,log,Level3
094-04-00-2018-10-30,094-04-00_2018_10_30.csv,log,Level3
094-EA-05-02-2018-07-31,094-EA-05-02_2018_07_31.csv,log,Level3
094-EA-05-02-2018-08-14,094-EA-05-02_2018_08_14.csv,log,Level3
094-EA-05-02-2018-10-30,094-EA-05-02_2018_10_30.csv,log,Level3
094-NA-05-00-2018-07-31,094-NA-05-00_2018_07_31.csv,log,NA
094-NA-05-00-2018-08-14,094-NA-05-00_2018_08_14.csv,log,Level3
094-SA-03-00-2018-07-31,094-SA-03-00_2018_07_31.csv,log,NA
094-SA-03-00-2018-08-14,094-SA-03-00_2018_08_14.csv,log,Level3
094-WL-02-00-2018-07-31,094-WL-02-00_2018_07_31.csv,log,Level3
094-WL-02-00-2018-08-14,094-WL-02-00_2018_08_14.csv,log,Level3
094-WL-02-10-2018-07-31,094-WL-02-10_2018_07_31.csv,log,Level3
094-WL-02-20-2018-07-31,094-WL-02-20_2018_07_31.csv,log,Level3
094-WL-02-30-2018-07-31,094-WL-02-30_2018_07_31.csv,log,Level3
438-2018-06-22,438_2018_06_22.csv,log,Level3
438-2018-07-13,438_2018_07_13.csv,log,Level3
438-2018-08-17,438_2018_08_17.csv,log,Level3
438-2018-09-25,438_2018_09_25.csv,log,Level3
440-2018-06-15,440_2018_06_15.csv,log,Level3
440-2018-07-20,440_2018_07_20.csv,log,Level3
440-2018-08-03,440_2018_08_03.csv,log,Level3
018-2019-06-19,018_2019_06_19.csv,log,Level3
094-EA-05-02-2019-06-26,094-EA-05-02_2019_06_26.csv,log,Level3
094-EA-05-02-2019-08-14,094-EA-05-02_2019_08_14.csv,log,Level3
094-MD-04-00-2019-04-24,094-MD-04-00_2019_04_24.csv,log,Level3
094-MD-04-00-2019-06-26,094-MD-04-00_2019_06_26.csv,log,Level3
094-MD-04-00-2019-08-14,094-MD-04-00_2019_08_14.csv,log,Level3
094-MD-04-00-2019-10-16,094-MD-04-00_2019_10_16.csv,log,Level3
094-NA-05-00-2019-06-26,094-NA-05-00_2019_06_26.csv,log,Level3
094-NA-05-00-2019-08-14,094-NA-05-00_2019_08_14.csv,log,Level3
094-NA-05-00-2019-10-16,094-NA-05-00_2019_10_16.csv,log,Level3
094-SA-03-00-2019-06-26,094-SA-03-00_2019_06_26.csv,log,Level3
094-SA-03-00-2019-10-16,094-SA-03-00_2019_10_16.csv,log,Level3
094-2019-04-24,094_2019_04_24.csv,log,Level3
094-2019-06-26,094_2019_06_26.csv,log,Level3
094-2019-10-16,094_2019_10_16.csv,log,Level3
149-04-10-2019-08-28,149-04-10_2019_08_28.csv,log,Level3
