Lake#,Reservoir Name,Dates
3,Bowling Green 1,6/7/2017
3,Bowling Green 1,7/27/2017
3,Bowling Green 1,8/16/2017
3,Bowling Green 1,8/26/2017
3,Bowling Green 1,5/29/2018
3,Bowling Green 1,6/18/2018
3,Bowling Green 1,7/16/2018
3,Bowling Green 1,8/6/2018
3,Bowling Green 1,5/23/2019
3,Bowling Green 1,6/12/2019
3,Bowling Green 1,7/31/2019
3,Bowling Green 1,8/29/2019
3,Bowling Green 1,6/29/2020
3,Bowling Green 1,7/20/2020
3,Bowling Green 1,8/10/2020
3,Bowling Green 1,9/15/2020
3,Bowling Green 1,6/7/2021
3,Bowling Green 1,6/28/2021
3,Bowling Green 1,7/20/2021
3,Bowling Green 1,8/9/2021
3,Bowling Green 1,5/31/2022
3,Bowling Green 1,6/21/2022
3,Bowling Green 1,7/18/2022
3,Bowling Green 1,8/8/2022
5,Lincoln,6/7/2017
5,Lincoln,6/28/2017
5,Lincoln,7/27/2017
5,Lincoln,8/16/2017
5,Lincoln,5/29/2018
5,Lincoln,6/18/2018
5,Lincoln,7/16/2018
5,Lincoln,8/6/2018
5,Lincoln,6/29/2019
5,Lincoln,7/31/2019
5,Lincoln,8/29/2019
5,Lincoln,9/19/2019
5,Lincoln,7/20/2020
5,Lincoln,8/10/2020
5,Lincoln,8/24/2020
5,Lincoln,9/15/2020
5,Lincoln,6/7/2021
5,Lincoln,6/28/2021
5,Lincoln,7/20/2021
5,Lincoln,8/9/2021
5,Lincoln,5/31/2022
5,Lincoln,6/21/2022
5,Lincoln,7/18/2022
5,Lincoln,8/8/2022
18,Capri,5/30/2017
18,Capri,6/19/2017
18,Capri,7/10/2017
18,Capri,7/31/2017
18,Capri,6/4/2018
18,Capri,6/25/2018
18,Capri,7/23/2018
18,Capri,8/13/2018
18,Capri,5/30/2019
18,Capri,7/2/2019
18,Capri,7/18/2019
18,Capri,8/9/2019
18,Capri,6/17/2020
18,Capri,7/20/2020
18,Capri,8/10/2020
18,Capri,8/31/2020
18,Capri,6/7/2021
18,Capri,6/28/2021
18,Capri,7/20/2021
18,Capri,8/9/2021
18,Capri,6/1/2022
18,Capri,6/22/2022
18,Capri,7/19/2022
18,Capri,8/9/2022
30,Wappapello,5/31/2017
30,Wappapello,6/20/2017
30,Wappapello,8/1/2017
30,Wappapello,9/13/2017
30,Wappapello,6/6/2018
30,Wappapello,6/27/2018
30,Wappapello,7/24/2018
30,Wappapello,8/14/2018
30,Wappapello,5/29/2019
30,Wappapello,6/18/2019
30,Wappapello,7/17/2019
30,Wappapello,8/8/2019
30,Wappapello,6/29/2020
30,Wappapello,7/21/2020
30,Wappapello,8/11/2020
30,Wappapello,8/31/2020
30,Wappapello,6/8/2021
30,Wappapello,6/29/2021
30,Wappapello,7/21/2021
30,Wappapello,8/10/2021
30,Wappapello,6/2/2022
30,Wappapello,6/22/2022
30,Wappapello,7/19/2022
30,Wappapello,8/9/2022
36,Clearwater,6/1/2017
36,Clearwater,6/20/2017
36,Clearwater,7/11/2017
36,Clearwater,8/1/2017
36,Clearwater,6/5/2018
36,Clearwater,6/26/2018
36,Clearwater,7/24/2018
36,Clearwater,8/14/2018
36,Clearwater,5/29/2019
36,Clearwater,6/18/2019
36,Clearwater,7/16/2019
36,Clearwater,9/6/2019
36,Clearwater,6/29/2020
36,Clearwater,7/21/2020
36,Clearwater,8/11/2020
36,Clearwater,9/1/2020
36,Clearwater,6/8/2021
36,Clearwater,6/29/2021
36,Clearwater,7/21/2021
36,Clearwater,8/10/2021
36,Clearwater,6/1/2022
36,Clearwater,6/22/2022
36,Clearwater,7/19/2022
36,Clearwater,8/9/2022
39,Council Bluff,5/30/2017
39,Council Bluff,6/19/2017
39,Council Bluff,7/10/2017
39,Council Bluff,7/31/2017
39,Council Bluff,6/4/2018
39,Council Bluff,6/25/2018
39,Council Bluff,7/23/2018
39,Council Bluff,8/13/2018
39,Council Bluff,5/30/2019
39,Council Bluff,6/19/2019
39,Council Bluff,7/2/2019
39,Council Bluff,7/17/2019
39,Council Bluff,6/30/2020
39,Council Bluff,8/11/2020
39,Council Bluff,9/1/2020
39,Council Bluff,9/17/2020
39,Council Bluff,6/9/2021
39,Council Bluff,6/30/2021
39,Council Bluff,7/22/2021
39,Council Bluff,8/11/2021
39,Council Bluff,6/2/2022
39,Council Bluff,6/23/2022
39,Council Bluff,7/20/2022
39,Council Bluff,8/10/2022
70,North,5/23/2017
70,North,6/13/2017
70,North,7/18/2017
70,North,8/7/2017
70,North,5/23/2018
70,North,6/13/2018
70,North,7/11/2018
70,North,8/1/2018
70,North,6/4/2019
70,North,6/24/2019
70,North,7/23/2019
70,North,8/13/2019
70,North,6/10/2020
70,North,7/7/2020
70,North,8/3/2020
70,North,8/18/2020
70,North,5/25/2021
70,North,6/15/2021
70,North,7/7/2021
70,North,8/4/2021
70,North,6/8/2022
70,North,6/28/2022
70,North,7/26/2022
70,North,8/16/2022
87,Brookfield,5/18/2017
87,Brookfield,6/26/2017
87,Brookfield,7/25/2017
87,Brookfield,8/14/2017
87,Brookfield,5/30/2018
87,Brookfield,6/19/2018
87,Brookfield,7/17/2018
87,Brookfield,8/7/2018
87,Brookfield,5/23/2019
87,Brookfield,6/12/2019
87,Brookfield,9/10/2019
87,Brookfield,9/18/2019
87,Brookfield,6/4/2020
87,Brookfield,7/13/2020
87,Brookfield,7/27/2020
87,Brookfield,9/10/2020
87,Brookfield,5/21/2021
87,Brookfield,6/21/2021
87,Brookfield,7/12/2021
87,Brookfield,7/30/2021
87,Brookfield,5/23/2022
87,Brookfield,6/13/2022
87,Brookfield,7/11/2022
87,Brookfield,8/1/2022
93,Stockton,5/24/2017
93,Stockton,6/14/2017
93,Stockton,7/20/2017
93,Stockton,8/9/2017
93,Stockton,8/1/2018
93,Stockton,8/15/2018
93,Stockton,9/13/2018
93,Stockton,9/20/2018
93,Stockton,6/5/2019
93,Stockton,6/25/2019
93,Stockton,7/23/2019
93,Stockton,8/13/2019
93,Stockton,6/15/2020
93,Stockton,7/7/2020
93,Stockton,8/4/2020
93,Stockton,8/18/2020
93,Stockton,5/26/2021
93,Stockton,6/15/2021
93,Stockton,7/7/2021
93,Stockton,8/4/2021
93,Stockton,6/7/2022
93,Stockton,6/28/2022
93,Stockton,7/25/2022
93,Stockton,8/15/2022
96,Fellows,5/24/2017
96,Fellows,6/14/2017
96,Fellows,7/20/2017
96,Fellows,8/9/2017
96,Fellows,5/21/2018
96,Fellows,6/11/2018
96,Fellows,7/9/2018
96,Fellows,7/30/2018
96,Fellows,6/5/2019
96,Fellows,6/26/2019
96,Fellows,7/24/2019
96,Fellows,8/14/2019
96,Fellows,6/16/2020
96,Fellows,7/7/2020
96,Fellows,8/4/2020
96,Fellows,8/18/2020
96,Fellows,5/26/2021
96,Fellows,6/16/2021
96,Fellows,7/8/2021
96,Fellows,8/5/2021
96,Fellows,6/7/2022
96,Fellows,6/27/2022
96,Fellows,7/25/2022
96,Fellows,8/15/2022
98,Table Rock,5/23/2017
98,Table Rock,6/13/2017
98,Table Rock,7/19/2017
98,Table Rock,8/8/2017
98,Table Rock,5/21/2018
98,Table Rock,6/12/2018
98,Table Rock,7/10/2018
98,Table Rock,7/31/2018
98,Table Rock,6/5/2019
98,Table Rock,6/25/2019
98,Table Rock,7/24/2019
98,Table Rock,8/14/2019
98,Table Rock,6/16/2020
98,Table Rock,7/8/2020
98,Table Rock,8/4/2020
98,Table Rock,8/19/2020
98,Table Rock,5/27/2021
98,Table Rock,6/16/2021
98,Table Rock,7/8/2021
98,Table Rock,8/5/2021
98,Table Rock,6/28/2022
98,Table Rock,8/1/2022
98,Table Rock,8/16/2022
98,Table Rock,8/23/2022
112,Shayne,5/30/2017
112,Shayne,6/19/2017
112,Shayne,7/10/2017
112,Shayne,7/31/2017
112,Shayne,6/4/2018
112,Shayne,6/25/2018
112,Shayne,7/23/2018
112,Shayne,8/13/2018
112,Shayne,5/30/2019
112,Shayne,6/19/2019
112,Shayne,7/18/2019
112,Shayne,8/9/2019
112,Shayne,6/17/2020
112,Shayne,7/20/2020
112,Shayne,8/10/2020
112,Shayne,9/17/2020
112,Shayne,6/7/2021
112,Shayne,6/28/2021
112,Shayne,7/20/2021
112,Shayne,8/9/2021
112,Shayne,6/1/2022
112,Shayne,6/22/2022
112,Shayne,7/19/2022
112,Shayne,8/9/2022
115,Hunnewell,6/7/2017
115,Hunnewell,6/28/2017
115,Hunnewell,7/27/2017
115,Hunnewell,8/16/2017
115,Hunnewell,6/18/2018
115,Hunnewell,7/16/2018
115,Hunnewell,8/6/2018
115,Hunnewell,8/23/2018
115,Hunnewell,5/23/2019
115,Hunnewell,6/12/2019
115,Hunnewell,7/10/2019
115,Hunnewell,9/19/2019
115,Hunnewell,6/24/2020
115,Hunnewell,7/15/2020
115,Hunnewell,7/29/2020
115,Hunnewell,8/24/2020
115,Hunnewell,5/21/2021
115,Hunnewell,6/23/2021
115,Hunnewell,7/14/2021
115,Hunnewell,8/1/2021
115,Hunnewell,5/25/2022
115,Hunnewell,6/15/2022
115,Hunnewell,7/13/2022
115,Hunnewell,8/3/2022
133,Forest,6/6/2017
133,Forest,6/27/2017
133,Forest,7/26/2017
133,Forest,8/15/2017
133,Forest,5/31/2018
133,Forest,6/20/2018
133,Forest,7/18/2018
133,Forest,8/8/2018
133,Forest,5/22/2019
133,Forest,6/11/2019
133,Forest,7/10/2019
133,Forest,9/18/2019
133,Forest,6/23/2020
133,Forest,7/14/2020
133,Forest,7/28/2020
133,Forest,8/25/2020
133,Forest,6/2/2021
133,Forest,6/23/2021
133,Forest,7/14/2021
133,Forest,8/1/2021
133,Forest,5/25/2022
133,Forest,6/15/2022
133,Forest,7/13/2022
133,Forest,8/15/2022
145,Mark Twain,6/7/2017
145,Mark Twain,6/28/2017
145,Mark Twain,7/27/2017
145,Mark Twain,8/16/2017
145,Mark Twain,5/29/2018
145,Mark Twain,6/18/2018
145,Mark Twain,7/16/2018
145,Mark Twain,8/6/2018
145,Mark Twain,5/23/2019
145,Mark Twain,6/12/2019
145,Mark Twain,7/11/2019
145,Mark Twain,8/1/2019
145,Mark Twain,6/24/2020
145,Mark Twain,8/8/2020
145,Mark Twain,8/24/2020
145,Mark Twain,9/15/2020
145,Mark Twain,6/3/2021
145,Mark Twain,6/23/2021
145,Mark Twain,7/14/2021
145,Mark Twain,8/24/2021
145,Mark Twain,7/6/2022
145,Mark Twain,8/5/2022
145,Mark Twain,8/29/2022
145,Mark Twain,9/25/2022
149,Lake of the Ozarks,8/4/2017
149,Lake of the Ozarks,8/17/2017
149,Lake of the Ozarks,9/10/2017
149,Lake of the Ozarks,9/27/2017
149,Lake of the Ozarks,6/14/2018
149,Lake of the Ozarks,8/9/2018
149,Lake of the Ozarks,9/6/2018
149,Lake of the Ozarks,9/26/2018
149,Lake of the Ozarks,5/31/2019
149,Lake of the Ozarks,6/12/2019
149,Lake of the Ozarks,7/19/2019
149,Lake of the Ozarks,8/28/2019
149,Lake of the Ozarks,6/30/2020
149,Lake of the Ozarks,8/7/2020
149,Lake of the Ozarks,8/21/2020
149,Lake of the Ozarks,9/19/2020
149,Lake of the Ozarks,7/2/2021
149,Lake of the Ozarks,7/21/2021
149,Lake of the Ozarks,9/13/2021
149,Lake of the Ozarks,9/23/2021
149,Lake of the Ozarks,10/7/2021
149,Lake of the Ozarks,6/18/2022
149,Lake of the Ozarks,6/19/2022
149,Lake of the Ozarks,7/11/2022
149,Lake of the Ozarks,8/8/2022
149,Lake of the Ozarks,9/15/2022
181,Mozingo,6/5/2017
181,Mozingo,6/26/2017
